
Timestamp(ms),GaugeValue,HeadPos.x,HeadPos.y,HeadPos.z,HeadForward.x,HeadForward.y,HeadForward.z,GazePos.x,GazePos.y,GazePos.z,GazeDirection.x,GazeDirection.y,GazeDirection.z,AOIName
1758851659210,0,0.114,0.859,0.251,0.394,0.423,0.816,0.042,0.43,0.633,0,0,1,None
1758851659407,0,0.111,0.856,0.252,0.407,0.37,0.835,0.041,0.428,0.633,0,0,1,None
1758851659655,0,0.114,0.834,0.259,0.427,0.123,0.896,0.043,0.417,0.636,0,0,1,None
1758851659766,0,0.115,0.807,0.265,0.347,-0.104,0.932,0.042,0.403,0.638,0,0,1,None
1758851659898,0,0.111,0.806,0.268,0.305,-0.093,0.948,0.04,0.403,0.639,0,0,1,None
1758851660041,0,0.102,0.8,0.276,0.247,-0.124,0.961,0.035,0.4,0.642,0,0,1,None
1758851660205,0,0.103,0.8,0.282,0.238,-0.121,0.964,0.036,0.4,0.645,0,0,1,None
1758851660333,0,0.097,0.8,0.279,0.198,-0.084,0.977,0.033,0.401,0.643,0,0,1,None
1758851660442,0,0.091,0.804,0.278,0.153,-0.05,0.987,0.03,0.403,0.641,0,0,1,None
1758851660565,0,0.086,0.804,0.278,0.105,-0.054,0.993,0.027,0.403,0.641,0,0,1,None
1758851660669,0,0.084,0.804,0.278,0.081,-0.05,0.995,0.026,0.403,0.64,0,0,1,None
1758851660772,0,0.079,0.806,0.275,0.045,-0.062,0.997,0.023,0.404,0.639,0,0,1,None
1758851660933,0,0.077,0.804,0.276,0.045,-0.082,0.996,0.022,0.403,0.639,0,0,1,None
1758851661050,0,0.079,0.804,0.275,0.052,-0.074,0.996,0.023,0.403,0.639,0,0,1,None
1758851661209,0,0.079,0.804,0.275,0.05,-0.073,0.996,0.023,0.403,0.638,0,0,1,None
1758851661375,0,0.081,0.804,0.275,0.059,-0.072,0.996,0.024,0.403,0.639,0,0,1,None
1758851661507,0,0.083,0.805,0.275,0.065,-0.071,0.995,0.025,0.403,0.639,0,0,1,None
1758851661616,0,0.084,0.805,0.275,0.069,-0.07,0.995,0.026,0.403,0.639,0,0,1,None
1758851661721,0,0.085,0.805,0.274,0.072,-0.067,0.995,0.026,0.403,0.638,0,0,1,None
1758851661831,0,0.085,0.805,0.274,0.072,-0.07,0.995,0.026,0.403,0.638,0,0,1,None
1758851661953,0,0.086,0.805,0.273,0.075,-0.067,0.995,0.027,0.403,0.638,0,0,1,None
1758851662057,0,0.086,0.806,0.272,0.077,-0.068,0.995,0.027,0.404,0.637,0,0,1,None
1758851662192,0,0.087,0.806,0.272,0.08,-0.065,0.995,0.027,0.404,0.637,0,0,1,None
1758851662331,0,0.086,0.809,0.272,0.09,-0.043,0.995,0.027,0.405,0.637,0,0,1,None
1758851662435,0,0.081,0.815,0.273,0.08,-0.009,0.997,0.024,0.408,0.638,0,0,1,None
1758851662586,0,0.081,0.83,0.266,0.109,0.131,0.985,0.025,0.415,0.635,0,0,1,None
1758851662665,0,0.082,0.843,0.259,0.142,0.264,0.954,0.025,0.421,0.632,0,0,1,None
1758851662777,0,0.08,0.856,0.247,0.178,0.408,0.896,0.024,0.427,0.627,0,0,1,None
1758851662908,0,0.082,0.861,0.241,0.189,0.473,0.861,0.025,0.43,0.624,0,0,1,None
1758851663041,0,0.085,0.864,0.236,0.197,0.489,0.85,0.027,0.431,0.622,0,0,1,None
1758851663167,0,0.089,0.864,0.232,0.211,0.501,0.839,0.029,0.431,0.62,0,0,1,None
1758851663291,0,0.092,0.865,0.229,0.211,0.502,0.839,0.03,0.432,0.619,0,0,1,None
1758851663421,0,0.094,0.867,0.229,0.196,0.509,0.838,0.031,0.433,0.618,0,0,1,None
1758851663551,0,0.095,0.865,0.23,0.181,0.511,0.84,0.032,0.432,0.618,0,0,1,None
1758851663683,0,0.097,0.865,0.231,0.182,0.507,0.842,0.033,0.432,0.619,0,0,1,None
1758851663784,0,0.099,0.864,0.233,0.181,0.498,0.848,0.033,0.432,0.62,0,0,1,None
1758851663920,0,0.1,0.863,0.235,0.18,0.493,0.851,0.034,0.431,0.621,0,0,1,None
1758851664027,0,0.1,0.863,0.236,0.179,0.492,0.852,0.034,0.432,0.621,0,0,1,None
1758851664122,0,0.101,0.863,0.236,0.185,0.489,0.852,0.035,0.431,0.622,0,0,1,None
1758851664231,0,0.101,0.863,0.237,0.188,0.489,0.852,0.035,0.431,0.622,0,0,1,None
1758851664401,0,0.101,0.863,0.236,0.191,0.491,0.85,0.035,0.431,0.622,0,0,1,None
1758851664502,0,0.101,0.864,0.236,0.19,0.492,0.85,0.035,0.432,0.621,0,0,1,None
