
Timestamp(ms),GaugeValue,HeadPos.x,HeadPos.y,HeadPos.z,HeadForward.x,HeadForward.y,HeadForward.z,GazePos.x,GazePos.y,GazePos.z,GazeDirection.x,GazeDirection.y,GazeDirection.z,ObjLookingAt
1758858342258,71.067,0.13,0.805,0.415,0.043,0.01,0.999,0.13,1.102,0.27,0.115,-0.062,0.991,Slide 1
1758858342285,71.067,0.13,0.804,0.416,0.046,0.008,0.999,0.13,1.102,0.27,0.112,-0.068,0.991,Slide 1
1758858342292,71.067,0.13,0.804,0.416,0.046,0.008,0.999,0.13,1.102,0.27,0.112,-0.068,0.991,Slide 1
1758858342300,71.067,0.13,0.804,0.416,0.046,0.008,0.999,0.13,1.102,0.27,0.112,-0.068,0.991,Slide 1
1758858342359,71.067,0.13,0.804,0.416,0.046,0.009,0.999,0.13,1.101,0.271,0.118,-0.069,0.991,Slide 1
1758858342412,71.067,0.13,0.804,0.416,0.047,0.009,0.999,0.13,1.101,0.271,0.122,-0.065,0.99,Slide 1
1758858342470,71.067,0.13,0.804,0.416,0.048,0.009,0.999,0.13,1.101,0.271,0.12,-0.066,0.991,Slide 1
1758858342525,71.067,0.13,0.804,0.417,0.048,0.008,0.999,0.13,1.101,0.272,0.118,-0.069,0.991,Slide 1
1758858342583,71.067,0.13,0.804,0.417,0.049,0.009,0.999,0.13,1.101,0.272,0.117,-0.068,0.991,Slide 1
1758858342640,71.067,0.13,0.804,0.417,0.049,0.008,0.999,0.13,1.101,0.272,0.116,-0.067,0.991,Slide 1
1758858342695,71.067,0.131,0.804,0.417,0.049,0.008,0.999,0.131,1.101,0.272,0.115,-0.067,0.991,Slide 1
1758858342777,71.067,0.13,0.804,0.417,0.049,0.008,0.999,0.13,1.101,0.272,-0.019,-0.057,0.998,Slide 1
1758858342810,71.067,0.13,0.804,0.417,0.048,0.009,0.999,0.13,1.101,0.272,-0.019,-0.056,0.998,Slide 1
1758858342889,71.067,0.13,0.804,0.417,0.047,0.008,0.999,0.13,1.101,0.272,-0.019,-0.056,0.998,Slide 1
1758858342919,71.067,0.13,0.804,0.417,0.047,0.009,0.999,0.13,1.101,0.272,-0.02,-0.053,0.998,Slide 1
1758858342972,71.067,0.13,0.804,0.417,0.047,0.008,0.999,0.13,1.101,0.272,-0.022,-0.046,0.999,Slide 1
1758858343029,71.067,0.13,0.804,0.417,0.046,0.008,0.999,0.13,1.101,0.272,-0.024,-0.047,0.999,Slide 1
1758858343112,71.067,0.131,0.804,0.417,0.047,0.009,0.999,0.131,1.101,0.272,-0.025,-0.052,0.998,Slide 1
