
Timestamp(ms),GaugeValue,HeadPos.x,HeadPos.y,HeadPos.z,HeadForward.x,HeadForward.y,HeadForward.z,GazePos.x,GazePos.y,GazePos.z,GazeDirection.x,GazeDirection.y,GazeDirection.z,ObjLookingAt
1758854937249,0,-0.117,0.83,0.326,-0.16,0.217,0.963,0,0,0,0,0,1,
1758854937411,0,-0.111,0.826,0.329,-0.087,0.18,0.98,0,0,0,0,0,1,
1758854937530,0,-0.11,0.823,0.331,-0.061,0.154,0.986,0,0,0,0,0,1,
1758854937635,0,-0.111,0.823,0.332,-0.069,0.151,0.986,0,0,0,0,0,1,
1758854937736,0,-0.112,0.823,0.331,-0.071,0.145,0.987,0,0,0,0,0,1,
1758854937846,0,-0.112,0.822,0.331,-0.07,0.142,0.987,0,0,0,0,0,1,
1758854937955,0,-0.112,0.822,0.331,-0.067,0.137,0.988,0,0,0,0,0,1,
1758854938066,0,-0.112,0.822,0.33,-0.067,0.137,0.988,0,0,0,0,0,1,
1758854938179,0,-0.112,0.822,0.33,-0.07,0.137,0.988,0,0,0,0,0,1,
1758854938291,0,-0.112,0.822,0.329,-0.071,0.138,0.988,0,0,0,0,0,1,
1758854938402,0,-0.112,0.822,0.329,-0.068,0.139,0.988,0,0,0,0,0,1,
1758854938516,0,-0.112,0.822,0.328,-0.068,0.14,0.988,0,0,0,0,0,1,
1758854938625,0,-0.112,0.822,0.328,-0.069,0.141,0.988,0,0,0,0,0,1,
1758854938738,0,-0.112,0.822,0.328,-0.069,0.14,0.988,0,0,0,0,0,1,
1758854938850,0,-0.113,0.822,0.328,-0.069,0.141,0.988,0,0,0,0,0,1,
1758854938959,0,-0.113,0.822,0.328,-0.069,0.142,0.987,0,0,0,0,0,1,
1758854939097,0,-0.113,0.822,0.328,-0.07,0.141,0.988,0,0,0,0,0,1,
1758854939210,0,-0.113,0.822,0.329,-0.069,0.141,0.988,0,0,0,0,0,1,
1758854939324,0,-0.113,0.822,0.329,-0.072,0.14,0.987,0,0,0,0,0,1,
1758854939434,0,-0.113,0.822,0.329,-0.071,0.141,0.987,0,0,0,0,0,1,
1758854939544,0,-0.113,0.822,0.329,-0.072,0.141,0.987,0,0,0,0,0,1,
1758854939659,0,-0.114,0.822,0.329,-0.073,0.141,0.987,0,0,0,0,0,1,
1758854939767,0,-0.114,0.821,0.329,-0.073,0.138,0.988,0,0,0,0,0,1,
1758854939882,0,-0.114,0.822,0.329,-0.072,0.139,0.988,0,0,0,0,0,1,
1758854939990,0,-0.113,0.822,0.329,-0.072,0.138,0.988,0,0,0,0,0,1,
1758854940108,0,-0.113,0.822,0.329,-0.073,0.139,0.988,0,0,0,0,0,1,
1758854940229,1.824,-0.114,0.822,0.329,-0.074,0.139,0.987,0,0,0,0,0,1,
1758854940329,8.736,-0.113,0.822,0.328,-0.072,0.14,0.988,0,0,0,0,0,1,
1758854940461,16.377,-0.113,0.822,0.328,-0.07,0.14,0.988,0,0,0,0,0,1,
1758854940573,23.38,-0.113,0.822,0.328,-0.069,0.141,0.988,0,0,0,0,0,1,
1758854940683,29.91,-0.114,0.822,0.328,-0.072,0.14,0.988,0,0,0,0,0,1,
1758854940822,37.876,-0.113,0.822,0.328,-0.07,0.141,0.988,0,0,0,0,0,1,
1758854940935,44.571,-0.113,0.822,0.328,-0.071,0.143,0.987,0,0,0,0,0,1,
1758854941053,51.668,-0.114,0.822,0.327,-0.071,0.145,0.987,0,0,0,0,0,1,
1758854941185,58.29,-0.114,0.822,0.327,-0.069,0.144,0.987,0,0,0,0,0,1,
1758854941295,64.739,-0.114,0.822,0.326,-0.069,0.146,0.987,0,0,0,0,0,1,
1758854941405,72.695,-0.114,0.822,0.326,-0.069,0.146,0.987,0,0,0,0,0,1,
1758854941516,79.356,-0.114,0.822,0.326,-0.069,0.145,0.987,0,0,0,0,0,1,
1758854941629,85.724,-0.115,0.822,0.325,-0.07,0.141,0.988,0,0,0,0,0,1,
1758854941743,92.679,-0.116,0.824,0.322,-0.072,0.153,0.986,0,0,0,0,0,1,
1758854941858,99.232,-0.115,0.825,0.32,-0.071,0.157,0.985,0,0,0,0,0,1,
1758854941968,100,-0.112,0.826,0.315,-0.05,0.143,0.988,0,0,0,0,0,1,
1758854942082,100,-0.11,0.828,0.309,-0.04,0.148,0.988,0,0,0,0,0,1,
1758854942194,100,-0.11,0.83,0.305,-0.059,0.162,0.985,0,0,0,0,0,1,
1758854942308,100,-0.112,0.831,0.303,-0.072,0.171,0.983,0,0,0,0,0,1,
1758854942413,100,-0.114,0.83,0.303,-0.073,0.17,0.983,0,0,0,0,0,1,
1758854942527,100,-0.115,0.83,0.304,-0.066,0.167,0.984,0,0,0,0,0,1,
1758854943149,100,-0.114,0.831,0.304,-0.067,0.172,0.983,0,0,0,0,0,1,
1758854943211,100,-0.112,0.829,0.312,-0.043,0.175,0.984,0,0,0,0,0,1,
1758854943308,100,-0.104,0.826,0.309,-0.012,0.16,0.987,0,0,0,0,0,1,
1758854943413,100,-0.105,0.825,0.307,-0.011,0.158,0.987,0,0,0,0,0,1,
1758854943526,100,-0.108,0.823,0.304,-0.02,0.15,0.988,0,0,0,0,0,1,
1758854943635,100,-0.113,0.821,0.301,-0.035,0.13,0.991,0,0,0,0,0,1,
1758854943748,100,-0.12,0.817,0.298,-0.043,0.119,0.992,0,0,0,0,0,1,
1758854943860,100,-0.128,0.813,0.3,-0.05,0.108,0.993,0,0,0,0,0,1,
1758854943969,100,-0.138,0.809,0.303,-0.048,0.1,0.994,0,0,0,0,0,1,
1758854944081,100,-0.148,0.808,0.308,-0.046,0.111,0.993,0,0,0,0,0,1,
1758854944193,100,-0.156,0.805,0.313,-0.053,0.109,0.993,0,0,0,0,0,1,
1758854944306,100,-0.162,0.803,0.319,-0.054,0.104,0.993,0,0,0,0,0,1,
1758854944419,100,-0.165,0.801,0.323,-0.067,0.109,0.992,0,0,0,0,0,1,
1758854944530,100,-0.166,0.802,0.326,-0.073,0.119,0.99,0,0,0,0,0,1,
1758854944642,100,-0.165,0.801,0.329,-0.08,0.127,0.989,0,0,0,0,0,1,
1758854944756,100,-0.164,0.802,0.331,-0.079,0.129,0.988,0,0,0,0,0,1,
1758854944865,100,-0.164,0.799,0.331,-0.073,0.137,0.988,0,0,0,0,0,1,
1758854944975,100,-0.164,0.8,0.329,-0.07,0.143,0.987,0,0,0,0,0,1,
1758854945089,100,-0.164,0.799,0.327,-0.071,0.145,0.987,0,0,0,0,0,1,
