
Timestamp(ms),GaugeValue,HeadPos.x,HeadPos.y,HeadPos.z,HeadForward.x,HeadForward.y,HeadForward.z,GazePos.x,GazePos.y,GazePos.z,GazeDirection.x,GazeDirection.y,GazeDirection.z,ObjLookingAt
1758854899448,0,0,-0.297,0.145,0,0,1,0,0,0,0,0,1,
1758854899556,0,0,-0.297,0.145,0,0,1,0,0,0,0,0,1,
1758854899676,0,0,-0.297,0.145,0,0,1,0,0,0,0,0,1,
1758854899798,0,0,-0.297,0.145,0,0,1,0,0,0,0,0,1,
1758854899903,0,0,-0.297,0.145,0,0,1,0,0,0,0,0,1,
1758854900010,0,0,-0.297,0.145,0,0,1,0,0,0,0,0,1,
1758854900120,0,0,-0.297,0.145,0,0,1,0,0,0,0,0,1,
1758854900247,0,0,-0.297,0.145,0,0,1,0,0,0,0,0,1,
1758854900363,0,0,-0.297,0.145,0,0,1,0,0,0,0,0,1,
1758854900468,0,0,-0.297,0.145,0,0,1,0,0,0,0,0,1,
1758854900572,0,0,-0.297,0.145,0,0,1,0,0,0,0,0,1,
1758854900679,0,0,-0.297,0.145,0,0,1,0,0,0,0,0,1,
1758854900781,0,0,-0.297,0.145,0,0,1,0,0,0,0,0,1,
1758854900898,0,0,-0.297,0.145,0,0,1,0,0,0,0,0,1,
1758854901006,0,0,-0.297,0.145,0,0,1,0,0,0,0,0,1,
1758854901131,0,0,-0.297,0.145,0,0,1,0,0,0,0,0,1,
1758854901242,0,0,-0.297,0.145,0,0,1,0,0,0,0,0,1,
1758854901368,0,0,-0.297,0.145,0,0,1,0,0,0,0,0,1,
1758854901472,0,0,-0.297,0.145,0,0,1,0,0,0,0,0,1,
1758854901582,0,0,-0.297,0.145,0,0,1,0,0,0,0,0,1,
1758854901687,0,0,-0.297,0.145,0,0,1,0,0,0,0,0,1,
1758854901793,0,0,-0.297,0.145,0,0,1,0,0,0,0,0,1,
1758854901893,0,0,-0.297,0.145,0,0,1,0,0,0,0,0,1,
1758854901995,0,0,-0.297,0.145,0,0,1,0,0,0,0,0,1,
1758854902104,0,0,-0.297,0.145,0,0,1,0,0,0,0,0,1,
1758854902228,0,0,-0.297,0.145,0,0,1,0,0,0,0,0,1,
1758854902343,0,0,-0.297,0.145,0,0,1,0,0,0,0,0,1,
1758854902467,0,0,-0.297,0.145,0,0,1,0,0,0,0,0,1,
1758854902574,0,0,-0.297,0.145,0,0,1,0,0,0,0,0,1,
1758854902677,0,0,-0.297,0.145,0,0,1,0,0,0,0,0,1,
