
Timestamp,Target,SlideNumber,Type,Source
2025-09-25T21:18:35.0518114-04:00,Highlight_1.2,1,OPEN,USER
2025-09-25T21:18:36.1782366-04:00,Highlight_1.2,1,CLOSE,USER
2025-09-25T21:18:36.7583664-04:00,Highlight_1.2,1,OPEN,USER
2025-09-25T21:18:37.2313234-04:00,Highlight_1.2,1,CLOSE,USER
2025-09-25T21:18:37.6615453-04:00,Highlight_1.2,1,OPEN,USER
2025-09-25T21:18:41.3959548-04:00,Highlight_1.2,1,CLOSE,USER
2025-09-25T21:18:41.9950990-04:00,Highlight_1.2,1,OPEN,USER
2025-09-25T21:18:42.9550006-04:00,Highlight_1.1,1,OPEN,USER
2025-09-25T21:18:43.6125894-04:00,Highlight_1.1,1,CLOSE,USER
2025-09-25T21:18:44.0956385-04:00,Highlight_1.1,1,OPEN,USER
2025-09-25T21:18:46.5585928-04:00,Highlight_1.1,1,CLOSE,USER
2025-09-25T21:18:47.1458429-04:00,Highlight_1.1,1,OPEN,USER
2025-09-25T21:18:48.0094227-04:00,Highlight_1.2,1,OPEN,USER
2025-09-25T21:18:48.5650600-04:00,Highlight_1.2,1,CLOSE,USER
2025-09-25T21:18:49.4857006-04:00,Highlight_1.2,1,OPEN,USER
