
Timestamp(ms),GaugeValue,HeadPos.x,HeadPos.y,HeadPos.z,HeadForward.x,HeadForward.y,HeadForward.z,GazePos.x,GazePos.y,GazePos.z,GazeDirection.x,GazeDirection.y,GazeDirection.z,AOIName
1758849717514,0,0.17,1.136,0.277,0.316,0.342,0.885,0.07,0.568,0.644,0,0,1,None
1758849717710,0,0.17,1.136,0.277,0.315,0.342,0.885,0.07,0.568,0.644,0,0,1,None
1758849717820,0,0.17,1.136,0.277,0.314,0.343,0.885,0.07,0.568,0.644,0,0,1,None
1758849717931,0,0.17,1.136,0.278,0.314,0.342,0.886,0.07,0.568,0.644,0,0,1,None
1758849718043,0,0.169,1.136,0.278,0.312,0.339,0.887,0.069,0.568,0.644,0,0,1,None
1758849718156,0,0.169,1.135,0.278,0.309,0.325,0.894,0.069,0.567,0.645,0,0,1,None
1758849718266,0,0.168,1.13,0.281,0.296,0.263,0.918,0.068,0.565,0.645,0,0,1,None
1758849718379,0,0.164,1.12,0.286,0.258,0.156,0.954,0.067,0.56,0.647,0,0,1,None
1758849718490,0,0.16,1.106,0.296,0.22,0.035,0.975,0.064,0.553,0.651,0,0,1,None
1758849718598,0,0.155,1.087,0.309,0.175,-0.102,0.979,0.062,0.543,0.657,0,0,1,None
1758849718705,0,0.152,1.071,0.319,0.15,-0.208,0.966,0.06,0.535,0.662,0,0,1,None
1758849718820,0,0.148,1.065,0.327,0.131,-0.273,0.953,0.058,0.532,0.666,0,0,1,None
1758849718940,0,0.143,1.056,0.328,0.1,-0.303,0.948,0.055,0.528,0.666,0,0,1,None
1758849719057,0,0.143,1.058,0.324,0.094,-0.289,0.953,0.055,0.529,0.664,0,0,1,None
1758849719182,0,0.142,1.062,0.321,0.065,-0.279,0.958,0.055,0.531,0.661,0,0,1,None
1758849719306,0,0.142,1.07,0.319,0.043,-0.21,0.977,0.055,0.535,0.66,0,0,1,None
1758849719428,0,0.139,1.078,0.317,0.034,-0.152,0.988,0.054,0.539,0.659,0,0,1,None
1758849719547,0,0.136,1.085,0.313,0.015,-0.083,0.996,0.052,0.542,0.657,0,0,1,None
1758849719656,0,0.134,1.09,0.309,0.007,-0.051,0.999,0.051,0.544,0.655,0,0,1,None
1758849719764,0,0.132,1.093,0.307,0.014,-0.029,0.999,0.05,0.546,0.654,0,0,1,None
1758849719868,0,0.13,1.093,0.307,0.015,-0.017,1,0.049,0.546,0.654,0,0,1,None
1758849719977,0,0.128,1.094,0.306,0.009,-0.013,1,0.048,0.546,0.653,0,0,1,None
1758849720088,0,0.127,1.095,0.305,0.009,-0.006,1,0.047,0.547,0.653,0,0,1,None
1758849720192,0,0.127,1.096,0.304,0.017,0.01,1,0.047,0.548,0.652,0,0,1,None
1758849720300,0,0.126,1.097,0.303,0.02,0.014,1,0.047,0.548,0.652,0,0,1,None
1758849720409,0,0.125,1.096,0.304,0.016,0.008,1,0.046,0.548,0.652,0,0,1,None
1758849720520,0,0.124,1.095,0.306,0.008,0.003,1,0.046,0.547,0.653,0,0,1,None
1758849720627,0,0.123,1.093,0.308,-0.006,-0.006,1,0.045,0.546,0.654,0,0,1,None
1758849720730,0,0.119,1.091,0.311,-0.043,-0.016,0.999,0.043,0.546,0.655,0,0,1,None
1758849720841,0,0.117,1.09,0.312,-0.066,-0.016,0.998,0.042,0.545,0.655,0,0,1,None
1758849720952,0,0.116,1.091,0.314,-0.056,-0.007,0.998,0.042,0.546,0.656,0,0,1,None
1758849721058,0,0.119,1.092,0.314,-0.018,-0.003,1,0.043,0.546,0.657,0,0,1,None
1758849721164,0,0.124,1.091,0.312,0.035,-0.02,0.999,0.046,0.545,0.657,0,0,1,None
1758849721272,0,0.129,1.091,0.309,0.07,-0.022,0.997,0.048,0.546,0.656,0,0,1,None
1758849721379,0,0.138,1.091,0.305,0.17,-0.028,0.985,0.053,0.546,0.655,0,0,1,None
1758849721489,0,0.146,1.093,0.301,0.277,-0.012,0.961,0.057,0.546,0.655,0,0,1,None
1758849721593,0,0.151,1.092,0.298,0.338,-0.022,0.941,0.06,0.546,0.654,0,0,1,None
1758849721703,0,0.153,1.092,0.296,0.373,-0.029,0.927,0.062,0.546,0.654,0,0,1,None
1758849721811,0,0.155,1.091,0.296,0.386,-0.044,0.921,0.062,0.545,0.654,0,0,1,None
1758849721918,0,0.155,1.092,0.298,0.399,-0.037,0.916,0.063,0.546,0.656,0,0,1,None
1758849722023,0,0.154,1.091,0.301,0.406,-0.043,0.913,0.062,0.545,0.657,0,0,1,None
1758849722127,0,0.15,1.09,0.304,0.368,-0.059,0.928,0.06,0.544,0.658,0,0,1,None
1758849722235,0,0.146,1.09,0.306,0.322,-0.062,0.945,0.058,0.544,0.658,0,0,1,None
1758849722338,0,0.144,1.09,0.306,0.315,-0.069,0.947,0.057,0.544,0.658,0,0,1,None
1758849722444,0,0.144,1.09,0.306,0.318,-0.067,0.946,0.057,0.544,0.658,0,0,1,None
1758849722551,0,0.145,1.09,0.306,0.322,-0.065,0.945,0.057,0.544,0.658,0,0,1,None
1758849722661,0,0.148,1.092,0.305,0.352,-0.055,0.934,0.059,0.545,0.658,0,0,1,None
1758849722767,0,0.15,1.095,0.304,0.382,-0.023,0.924,0.06,0.547,0.658,0,0,1,None
1758849722889,0,0.151,1.095,0.305,0.402,-0.021,0.915,0.061,0.547,0.659,0,0,1,None
1758849722980,0,0.151,1.094,0.306,0.411,-0.029,0.911,0.061,0.546,0.659,0,0,1,None
1758849723087,0,0.15,1.092,0.306,0.413,-0.051,0.909,0.06,0.545,0.66,0,0,1,None
1758849723197,0,0.147,1.091,0.307,0.385,-0.079,0.92,0.058,0.545,0.66,0,0,1,None
1758849723302,0,0.137,1.088,0.311,0.291,-0.125,0.949,0.053,0.544,0.66,0,0,1,None
1758849723420,0,0.131,1.085,0.311,0.242,-0.156,0.958,0.05,0.542,0.659,0,0,1,None
1758849723529,0.94,0.129,1.082,0.308,0.228,-0.185,0.956,0.049,0.54,0.657,0,0,1,None
