
Timestamp(ms),GaugeValue,HeadPos.x,HeadPos.y,HeadPos.z,HeadForward.x,HeadForward.y,HeadForward.z,GazePos.x,GazePos.y,GazePos.z,GazeDirection.x,GazeDirection.y,GazeDirection.z,AOIName
1758849131500,0,0.08,1.113,-0.038,0.371,0.198,0.907,0.025,0.557,0.487,0,0,1,None
1758849131650,0,0.058,1.112,-0.061,0.34,0.238,0.91,0.014,0.556,0.475,0,0,1,None
1758849131736,0,0.021,1.111,-0.087,0.259,0.272,0.927,-0.005,0.556,0.461,0,0,1,None
1758849131829,0,-0.001,1.107,-0.098,0.215,0.259,0.942,-0.016,0.554,0.454,0,0,1,None
1758849131942,0,-0.015,1.105,-0.104,0.193,0.26,0.946,-0.023,0.552,0.451,0,0,1,None
1758849132065,0,-0.027,1.103,-0.107,0.171,0.262,0.95,-0.029,0.551,0.45,0,0,1,None
1758849132177,0,-0.033,1.099,-0.108,0.152,0.256,0.955,-0.033,0.549,0.449,0,0,1,None
1758849132290,0,-0.038,1.093,-0.111,0.136,0.254,0.957,-0.035,0.546,0.447,0,0,1,None
1758849132413,0,-0.042,1.086,-0.116,0.125,0.239,0.963,-0.037,0.542,0.444,0,0,1,None
1758849132526,0,-0.048,1.077,-0.123,0.105,0.212,0.972,-0.04,0.538,0.441,0,0,1,None
1758849132638,0,-0.051,1.073,-0.126,0.085,0.193,0.977,-0.042,0.536,0.439,0,0,1,None
1758849132748,0,-0.052,1.068,-0.127,0.07,0.187,0.98,-0.042,0.533,0.438,0,0,1,None
1758849132860,0,-0.051,1.064,-0.127,0.064,0.175,0.982,-0.041,0.531,0.438,0,0,1,None
1758849132971,0,-0.049,1.06,-0.127,0.063,0.164,0.984,-0.041,0.53,0.438,0,0,1,None
1758849133082,0,-0.049,1.055,-0.13,0.059,0.138,0.989,-0.041,0.527,0.436,0,0,1,None
1758849133195,0,-0.05,1.055,-0.133,0.048,0.129,0.991,-0.041,0.527,0.434,0,0,1,None
1758849133306,0,-0.048,1.054,-0.136,0.034,0.124,0.992,-0.04,0.526,0.433,0,0,1,None
1758849133419,0,-0.045,1.055,-0.134,0.019,0.126,0.992,-0.039,0.527,0.433,0,0,1,None
1758849133538,0,-0.043,1.056,-0.131,0.011,0.134,0.991,-0.037,0.527,0.435,0,0,1,None
1758849133667,0,-0.041,1.055,-0.129,0.013,0.129,0.992,-0.036,0.527,0.436,0,0,1,None
1758849133777,0,-0.04,1.055,-0.129,0.019,0.125,0.992,-0.036,0.527,0.436,0,0,1,None
1758849133891,0,-0.04,1.056,-0.128,0.031,0.131,0.991,-0.036,0.527,0.437,0,0,1,None
1758849134012,0,-0.04,1.056,-0.127,0.044,0.134,0.99,-0.036,0.528,0.437,0,0,1,None
