
Timestamp(ms),GaugeValue,HeadPos.x,HeadPos.y,HeadPos.z,HeadForward.x,HeadForward.y,HeadForward.z,GazePos.x,GazePos.y,GazePos.z,GazeDirection.x,GazeDirection.y,GazeDirection.z,AOIName
1758851509733,0,0.025,0.792,0.043,0.217,0.117,0.969,-0.003,0.397,0.525,0,0,1,None
1758851509902,0,0.023,0.791,0.049,0.171,0.101,0.98,-0.004,0.396,0.527,0,0,1,None
1758851510007,0,0.015,0.788,0.052,0.075,0.072,0.995,-0.009,0.394,0.527,0,0,1,None
1758851510174,0,0.012,0.787,0.052,0.059,0.063,0.996,-0.01,0.393,0.527,0,0,1,None
1758851510285,0,0.013,0.788,0.054,0.059,0.061,0.996,-0.01,0.394,0.528,0,0,1,None
1758851510394,0,0.015,0.788,0.057,0.039,0.061,0.997,-0.009,0.394,0.529,0,0,1,None
1758851510508,0,0.018,0.787,0.06,0.024,0.062,0.998,-0.007,0.393,0.53,0,0,1,None
1758851510666,0,0.024,0.787,0.058,0.047,0.051,0.998,-0.004,0.393,0.53,0,0,1,None
1758851510773,0,0.026,0.786,0.058,0.032,0.053,0.998,-0.003,0.393,0.53,0,0,1,None
1758851510875,0,0.029,0.787,0.057,0.017,0.056,0.998,-0.002,0.393,0.529,0,0,1,None
1758851510983,0,0.032,0.787,0.055,0.022,0.056,0.998,0,0.394,0.528,0,0,1,None
1758851511108,0,0.034,0.788,0.055,0.014,0.06,0.998,0.001,0.394,0.528,0,0,1,None
1758851511249,0,0.034,0.788,0.054,0.011,0.066,0.998,0.001,0.394,0.527,0,0,1,None
1758851511375,0,0.035,0.788,0.055,0.016,0.064,0.998,0.001,0.394,0.528,0,0,1,None
1758851511481,0,0.035,0.788,0.055,0.023,0.066,0.998,0.001,0.394,0.528,0,0,1,None
1758851511609,0,0.034,0.788,0.055,0.026,0.065,0.998,0.001,0.394,0.528,0,0,1,None
1758851511721,0,0.033,0.788,0.055,0.031,0.063,0.998,0,0.394,0.528,0,0,1,None
1758851511826,0,0.033,0.788,0.055,0.036,0.065,0.997,0,0.394,0.528,0,0,1,None
1758851511925,0,0.032,0.788,0.055,0.041,0.065,0.997,0,0.394,0.528,0,0,1,None
1758851512061,0,0.032,0.788,0.055,0.042,0.067,0.997,0,0.394,0.528,0,0,1,None
1758851512164,0,0.031,0.788,0.055,0.042,0.069,0.997,-0.001,0.394,0.528,0,0,1,None
1758851512264,0,0.031,0.788,0.055,0.04,0.067,0.997,-0.001,0.394,0.528,0,0,1,None
1758851512398,0,0.031,0.788,0.055,0.038,0.068,0.997,-0.001,0.394,0.528,0,0,1,None
1758851512527,0,0.031,0.788,0.056,0.038,0.068,0.997,-0.001,0.394,0.528,0,0,1,None
1758851512629,0,0.031,0.788,0.056,0.038,0.069,0.997,-0.001,0.394,0.528,0,0,1,None
1758851512762,0,0.031,0.788,0.055,0.037,0.07,0.997,-0.001,0.394,0.528,0,0,1,None
1758851512865,0,0.03,0.789,0.055,0.036,0.07,0.997,-0.001,0.394,0.528,0,0,1,None
1758851512964,0,0.03,0.788,0.056,0.035,0.069,0.997,-0.001,0.394,0.528,0,0,1,None
1758851513065,0,0.03,0.788,0.056,0.035,0.069,0.997,-0.001,0.394,0.529,0,0,1,None
1758851513174,0,0.03,0.788,0.056,0.035,0.068,0.997,-0.001,0.394,0.529,0,0,1,None
1758851513284,0,0.03,0.788,0.056,0.034,0.068,0.997,-0.001,0.394,0.529,0,0,1,None
1758851513411,0,0.03,0.788,0.056,0.034,0.069,0.997,-0.001,0.394,0.529,0,0,1,None
1758851513565,0,0.03,0.788,0.056,0.034,0.071,0.997,-0.001,0.394,0.529,0,0,1,None
1758851513660,0,0.03,0.788,0.056,0.036,0.07,0.997,-0.001,0.394,0.529,0,0,1,None
1758851513765,0,0.029,0.788,0.056,0.035,0.071,0.997,-0.001,0.394,0.528,0,0,1,None
1758851513899,0,0.03,0.788,0.056,0.034,0.07,0.997,-0.001,0.394,0.529,0,0,1,None
1758851514003,0,0.03,0.788,0.056,0.033,0.07,0.997,-0.001,0.394,0.529,0,0,1,None
1758851514102,0,0.03,0.788,0.056,0.034,0.07,0.997,-0.001,0.394,0.529,0,0,1,None
1758851514230,0,0.03,0.788,0.056,0.033,0.069,0.997,-0.001,0.394,0.529,0,0,1,None
1758851514365,0,0.03,0.788,0.056,0.035,0.07,0.997,-0.001,0.394,0.529,0,0,1,None
1758851514466,0,0.03,0.788,0.056,0.035,0.07,0.997,-0.001,0.394,0.529,0,0,1,None
1758851514574,0,0.03,0.789,0.056,0.035,0.071,0.997,-0.001,0.394,0.529,0,0,1,None
1758851514700,0,0.03,0.788,0.056,0.036,0.07,0.997,-0.001,0.394,0.529,0,0,1,None
1758851514831,0,0.03,0.788,0.056,0.035,0.07,0.997,-0.001,0.394,0.528,0,0,1,None
1758851514933,0,0.03,0.788,0.056,0.033,0.067,0.997,-0.001,0.394,0.528,0,0,1,None
1758851515038,0,0.029,0.788,0.056,0.034,0.068,0.997,-0.002,0.394,0.529,0,0,1,None
1758851515171,0,0.03,0.788,0.056,0.038,0.062,0.997,-0.001,0.393,0.529,0,0,1,None
1758851515268,0,0.03,0.788,0.056,0.033,0.066,0.997,-0.001,0.394,0.528,0,0,1,None
1758851515402,0,0.03,0.788,0.056,0.035,0.063,0.997,-0.001,0.394,0.528,0,0,1,None
1758851515511,0,0.03,0.788,0.056,0.033,0.063,0.997,-0.001,0.394,0.529,0,0,1,None
1758851515643,0,0.025,0.787,0.057,0.005,0.055,0.998,-0.004,0.393,0.529,0,0,1,None
1758851515795,0,0.014,0.782,0.059,-0.086,0.013,0.996,-0.009,0.39,0.528,0,0,1,None
1758851515897,0,0.007,0.777,0.061,-0.141,-0.039,0.989,-0.012,0.388,0.528,0,0,1,None
1758851515997,0,0.006,0.773,0.065,-0.127,-0.07,0.989,-0.013,0.386,0.53,0,0,1,None
1758851516103,0,0.01,0.77,0.068,-0.064,-0.109,0.992,-0.011,0.384,0.533,0,0,1,None
1758851516238,0,0.013,0.767,0.07,-0.044,-0.133,0.99,-0.01,0.383,0.534,0,0,1,None
1758851516346,0,0.015,0.766,0.071,-0.047,-0.136,0.99,-0.009,0.382,0.534,0,0,1,None
1758851516482,0,0.02,0.77,0.073,-0.036,-0.101,0.994,-0.006,0.384,0.536,0,0,1,None
1758851516609,0,0.023,0.765,0.07,-0.014,-0.133,0.991,-0.005,0.382,0.535,0,0,1,None
1758851516714,0,0.024,0.762,0.067,0.012,-0.141,0.99,-0.004,0.381,0.534,0,0,1,None
1758851516820,0,0.025,0.765,0.065,0.014,-0.154,0.988,-0.004,0.382,0.532,0,0,1,None
1758851516956,0,0.029,0.76,0.067,0.012,-0.158,0.987,-0.002,0.38,0.533,0,0,1,None
1758851517051,0,0.027,0.76,0.066,0.052,-0.159,0.986,-0.003,0.38,0.534,0,0,1,None
1758851517179,0,0.026,0.758,0.06,0.024,-0.159,0.987,-0.003,0.379,0.53,0,0,1,None
1758851517280,0,0.023,0.762,0.055,-0.028,-0.102,0.994,-0.005,0.381,0.527,0,0,1,None
1758851517379,0,0.017,0.769,0.049,-0.088,-0.067,0.994,-0.008,0.385,0.523,0,0,1,None
1758851517485,0,0.017,0.785,0.048,-0.14,0.016,0.99,-0.007,0.392,0.522,0,0,1,None
1758851517584,0,0.012,0.778,0.047,-0.118,0.018,0.993,-0.01,0.389,0.522,0,0,1,None
1758851517684,0,0.015,0.778,0.05,-0.06,-0.002,0.998,-0.008,0.389,0.524,0,0,1,None
1758851517796,0,0.015,0.781,0.05,-0.051,0.029,0.998,-0.009,0.39,0.524,0,0,1,None
1758851517907,0,0.014,0.781,0.049,-0.077,0.029,0.997,-0.009,0.39,0.523,0,0,1,None
1758851518016,0,0.015,0.782,0.048,-0.081,0.038,0.996,-0.009,0.39,0.523,0,0,1,None
1758851518123,0,0.016,0.781,0.048,-0.07,0.032,0.997,-0.008,0.39,0.523,0,0,1,None
1758851518249,0,0.016,0.784,0.048,-0.052,0.053,0.997,-0.008,0.391,0.523,0,0,1,None
1758851518353,0,0.017,0.786,0.05,-0.025,0.082,0.996,-0.007,0.392,0.525,0,0,1,None
1758851518495,0,0.02,0.785,0.053,-0.013,0.088,0.996,-0.006,0.392,0.527,0,0,1,None
1758851518599,0,0.027,0.787,0.061,-0.026,0.076,0.997,-0.003,0.392,0.53,0,0,1,None
1758851518701,0,0.033,0.787,0.072,-0.024,0.094,0.995,0,0.393,0.536,0,0,1,None
1758851518856,0,0.039,0.786,0.087,-0.016,0.068,0.998,0.003,0.392,0.543,0,0,1,None
1758851518951,0,0.045,0.788,0.105,-0.012,0.067,0.998,0.006,0.393,0.552,0,0,1,None
1758851519058,0,0.051,0.799,0.128,0.03,0.144,0.989,0.009,0.399,0.564,0,0,1,None
1758851519188,0,0.065,0.822,0.144,0.115,0.306,0.945,0.016,0.411,0.574,0,0,1,None
1758851519305,0,0.069,0.832,0.154,0.118,0.371,0.921,0.018,0.416,0.579,0,0,1,None
1758851519423,0,0.071,0.835,0.163,0.104,0.392,0.914,0.019,0.417,0.583,0,0,1,None
1758851519530,0,0.074,0.843,0.171,0.155,0.425,0.892,0.021,0.422,0.588,0,0,1,None
1758851519659,0,0.081,0.847,0.184,0.171,0.445,0.879,0.025,0.423,0.596,0,0,1,None
1758851519784,0,0.086,0.852,0.188,0.216,0.491,0.844,0.027,0.426,0.598,0,0,1,None
1758851519887,0,0.091,0.857,0.199,0.255,0.527,0.811,0.03,0.428,0.605,0,0,1,None
1758851519990,0,0.095,0.855,0.21,0.274,0.527,0.805,0.032,0.427,0.61,0,0,1,None
1758851520090,0,0.097,0.855,0.217,0.287,0.527,0.8,0.033,0.428,0.614,0,0,1,None
1758851520196,0,0.1,0.855,0.226,0.29,0.522,0.802,0.035,0.428,0.619,0,0,1,None
1758851520330,0,0.102,0.855,0.234,0.29,0.511,0.809,0.036,0.427,0.622,0,0,1,None
