
Timestamp,Target,SlideNumber,Type,Source
2025-09-25T23:46:08.7993753-04:00,Highlight_1.1,1,OPEN,USER
2025-09-25T23:46:10.2357866-04:00,Highlight_1.2,1,OPEN,USER
2025-09-25T23:46:28.7553884-04:00,Highlight_1.2,1,CLOSE,USER
2025-09-25T23:46:34.9353827-04:00,Highlight_2.1,2,OPEN,USER
2025-09-25T23:46:41.7571577-04:00,Highlight_2.2,2,OPEN,USER
2025-09-25T23:46:45.0994314-04:00,Highlight_2.3,2,OPEN,USER
2025-09-25T23:46:50.1626084-04:00,Highlight_2.4,2,OPEN,USER
2025-09-25T23:46:58.7440272-04:00,Highlight_2.5,2,OPEN,USER
2025-09-25T23:47:15.9219735-04:00,Highlight_2.5,2,CLOSE,USER
2025-09-25T23:47:17.3438003-04:00,Highlight_2.3,2,OPEN,USER
2025-09-25T23:48:00.9726883-04:00,Highlight_2.3,2,CLOSE,SYSTEM
2025-09-25T23:48:08.4341936-04:00,Highlight_3.1,3,OPEN,USER
2025-09-25T23:48:16.6189791-04:00,Highlight_3.2,3,OPEN,USER
2025-09-25T23:48:23.4159542-04:00,Highlight_3.3,3,OPEN,USER
2025-09-25T23:48:27.5068537-04:00,Highlight_3.4,3,OPEN,USER
2025-09-25T23:48:28.2834165-04:00,Highlight_3.4,3,CLOSE,USER
2025-09-25T23:48:28.9527077-04:00,Highlight_3.4,3,OPEN,USER
2025-09-25T23:48:30.9082906-04:00,Highlight_3.4,3,CLOSE,USER
2025-09-25T23:48:32.7707763-04:00,Highlight_3.4,3,OPEN,USER
2025-09-25T23:48:33.4075485-04:00,Highlight_3.5,3,OPEN,USER
