
Timestamp(ms),GaugeValue,HeadPos.x,HeadPos.y,HeadPos.z,HeadForward.x,HeadForward.y,HeadForward.z,GazePos.x,GazePos.y,GazePos.z,GazeDirection.x,GazeDirection.y,GazeDirection.z,AOIName
1758853287954,0,0.006,0.8,0.238,0.098,0.255,0.962,-0.013,0.401,0.621,0,0,1,None
1758853288037,0,0.011,0.8,0.245,0.082,0.26,0.962,-0.011,0.401,0.624,0,0,1,None
1758853288146,0,0.025,0.798,0.252,0.134,0.186,0.973,-0.004,0.398,0.628,0,0,1,None
1758853288257,0,0.03,0.798,0.25,0.151,0.22,0.964,-0.001,0.4,0.627,0,0,1,None
1758853288370,0,0.033,0.797,0.244,0.152,0.22,0.964,0.001,0.399,0.625,0,0,1,None
1758853288483,0,0.034,0.8,0.242,0.157,0.226,0.962,0.001,0.4,0.624,0,0,1,None
1758853288593,0,0.038,0.799,0.244,0.17,0.249,0.953,0.003,0.4,0.625,0,0,1,None
1758853288705,0,0.04,0.802,0.246,0.185,0.251,0.95,0.004,0.402,0.626,0,0,1,None
1758853288816,0,0.04,0.803,0.249,0.197,0.277,0.94,0.004,0.402,0.628,0,0,1,None
1758853289525,0,0.039,0.805,0.25,0.209,0.29,0.934,0.004,0.403,0.628,0,0,1,None
1758853289578,0,0.035,0.808,0.259,0.214,0.35,0.912,0.002,0.404,0.633,0,0,1,None
1758853289661,0,0.04,0.812,0.262,0.221,0.389,0.895,0.004,0.406,0.635,0,0,1,None
1758853289788,0,0.042,0.81,0.262,0.221,0.391,0.894,0.005,0.405,0.635,0,0,1,None
1758853289868,0,0.042,0.81,0.262,0.221,0.393,0.893,0.005,0.405,0.635,0,0,1,None
1758853289976,0,0.036,0.812,0.264,0.156,0.401,0.903,0.002,0.407,0.635,0,0,1,None
1758853290090,0,0.034,0.81,0.265,0.119,0.399,0.909,0.001,0.406,0.634,0,0,1,None
1758853290205,0,0.033,0.811,0.267,0.121,0.391,0.913,0,0.407,0.635,0,0,1,None
1758853290346,7.208,0.032,0.809,0.267,0.137,0.384,0.913,0,0.405,0.636,0,0,1,None
1758853290425,7.208,0.031,0.81,0.267,0.177,0.373,0.911,0,0.406,0.637,0,0,1,None
