
Timestamp(ms),GaugeValue,HeadPos.x,HeadPos.y,HeadPos.z,HeadForward.x,HeadForward.y,HeadForward.z,GazePos.x,GazePos.y,GazePos.z,GazeDirection.x,GazeDirection.y,GazeDirection.z,AOIName
1758848554210,0,0.031,1.076,0.023,-0.084,0.173,0.981,0,0.537,0.51,0,0,1,None
1758848554388,0,0.032,1.076,0.025,-0.079,0.176,0.981,0,0.538,0.511,0,0,1,None
1758848554466,0,0.033,1.074,0.027,-0.078,0.169,0.982,0,0.537,0.512,0,0,1,None
1758848554575,0,0.033,1.075,0.027,-0.08,0.163,0.983,0,0.537,0.512,0,0,1,None
1758848554697,0,0.033,1.074,0.028,-0.079,0.161,0.984,0,0.537,0.513,0,0,1,None
1758848554808,0,0.033,1.074,0.029,-0.082,0.155,0.985,0,0.537,0.513,0,0,1,None
1758848554924,0,0.033,1.073,0.029,-0.083,0.155,0.984,0,0.536,0.513,0,0,1,None
1758848555034,0,0.032,1.073,0.029,-0.086,0.153,0.984,0,0.536,0.513,0,0,1,None
1758848555145,0,0.033,1.073,0.031,-0.082,0.148,0.986,0,0.536,0.514,0,0,1,None
1758848555259,0,0.034,1.072,0.032,-0.077,0.142,0.987,0.001,0.536,0.515,0,0,1,None
1758848555365,0,0.036,1.071,0.033,-0.071,0.136,0.988,0.002,0.535,0.515,0,0,1,None
1758848555475,0,0.037,1.071,0.034,-0.07,0.135,0.988,0.002,0.536,0.516,0,0,1,None
1758848555590,0,0.038,1.07,0.035,-0.062,0.122,0.991,0.003,0.535,0.517,0,0,1,None
1758848555698,0,0.039,1.069,0.036,-0.06,0.116,0.991,0.003,0.535,0.517,0,0,1,None
1758848555812,0,0.04,1.069,0.036,-0.061,0.109,0.992,0.004,0.534,0.517,0,0,1,None
1758848555926,0,0.04,1.069,0.036,-0.065,0.113,0.991,0.004,0.534,0.517,0,0,1,None
1758848556034,0,0.039,1.069,0.036,-0.067,0.113,0.991,0.003,0.534,0.517,0,0,1,None
1758848556146,0,0.039,1.069,0.035,-0.071,0.117,0.991,0.003,0.535,0.517,0,0,1,None
1758848556258,0,0.038,1.069,0.035,-0.071,0.113,0.991,0.003,0.534,0.516,0,0,1,None
1758848556370,0,0.038,1.069,0.035,-0.073,0.119,0.99,0.003,0.535,0.516,0,0,1,None
1758848556479,0,0.038,1.07,0.035,-0.075,0.117,0.99,0.003,0.535,0.516,0,0,1,None
1758848556593,0,0.038,1.07,0.034,-0.076,0.127,0.989,0.003,0.535,0.516,0,0,1,None
1758848556702,0,0.038,1.07,0.034,-0.08,0.122,0.989,0.003,0.535,0.516,0,0,1,None
1758848556815,0,0.038,1.07,0.034,-0.08,0.128,0.989,0.003,0.535,0.516,0,0,1,None
1758848556914,0,0.038,1.07,0.034,-0.082,0.122,0.989,0.003,0.535,0.516,0,0,1,None
1758848557025,0,0.038,1.07,0.034,-0.079,0.131,0.988,0.003,0.535,0.516,0,0,1,None
1758848557135,0,0.038,1.07,0.034,-0.077,0.125,0.989,0.003,0.535,0.516,0,0,1,None
1758848557247,0,0.038,1.07,0.034,-0.076,0.129,0.989,0.003,0.535,0.516,0,0,1,None
1758848557358,0,0.038,1.071,0.034,-0.081,0.127,0.989,0.003,0.535,0.515,0,0,1,None
1758848557468,0,0.039,1.071,0.034,-0.075,0.134,0.988,0.003,0.535,0.516,0,0,1,None
1758848557580,0,0.04,1.071,0.034,-0.062,0.129,0.99,0.004,0.535,0.516,0,0,1,None
1758848557690,0,0.042,1.071,0.034,-0.052,0.135,0.99,0.005,0.535,0.516,0,0,1,None
1758848557801,0,0.041,1.071,0.033,-0.057,0.137,0.989,0.005,0.536,0.516,0,0,1,None
1758848557913,0,0.041,1.071,0.033,-0.056,0.135,0.989,0.004,0.535,0.516,0,0,1,None
1758848558023,0,0.041,1.071,0.033,-0.056,0.135,0.989,0.004,0.535,0.516,0,0,1,None
1758848558135,0,0.041,1.071,0.033,-0.056,0.136,0.989,0.004,0.535,0.516,0,0,1,None
1758848558246,0,0.041,1.071,0.033,-0.056,0.136,0.989,0.004,0.535,0.516,0,0,1,None
1758848558357,0,0.041,1.071,0.033,-0.055,0.135,0.989,0.004,0.535,0.516,0,0,1,None
1758848558471,0,0.041,1.071,0.033,-0.055,0.136,0.989,0.004,0.535,0.516,0,0,1,None
1758848558577,0,0.042,1.072,0.033,-0.056,0.139,0.989,0.005,0.536,0.516,0,0,1,None
1758848558692,0,0.042,1.072,0.033,-0.056,0.137,0.989,0.005,0.536,0.516,0,0,1,None
1758848558800,0,0.041,1.071,0.033,-0.057,0.135,0.989,0.004,0.536,0.516,0,0,1,None
1758848558905,0,0.041,1.071,0.033,-0.06,0.135,0.989,0.004,0.535,0.516,0,0,1,None
1758848559013,0,0.041,1.071,0.034,-0.058,0.134,0.989,0.004,0.535,0.516,0,0,1,None
1758848559124,0,0.041,1.071,0.034,-0.06,0.133,0.989,0.004,0.535,0.516,0,0,1,None
1758848559229,0,0.041,1.071,0.034,-0.06,0.133,0.989,0.004,0.535,0.516,0,0,1,None
1758848559336,0,0.04,1.071,0.034,-0.061,0.132,0.989,0.004,0.535,0.516,0,0,1,None
1758848559444,0,0.04,1.071,0.034,-0.061,0.133,0.989,0.004,0.535,0.516,0,0,1,None
1758848559550,0,0.04,1.071,0.034,-0.062,0.132,0.989,0.004,0.535,0.516,0,0,1,None
1758848559659,0,0.04,1.071,0.034,-0.062,0.132,0.989,0.004,0.535,0.516,0,0,1,None
1758848559765,0,0.04,1.071,0.034,-0.062,0.132,0.989,0.004,0.535,0.516,0,0,1,None
1758848559876,0,0.04,1.071,0.034,-0.061,0.132,0.989,0.004,0.535,0.516,0,0,1,None
1758848559984,0,0.04,1.071,0.034,-0.061,0.131,0.99,0.004,0.535,0.516,0,0,1,None
1758848560098,0,0.04,1.07,0.034,-0.06,0.13,0.99,0.004,0.535,0.516,0,0,1,None
1758848560205,0,0.04,1.071,0.034,-0.061,0.131,0.989,0.004,0.535,0.516,0,0,1,None
1758848560312,0,0.04,1.071,0.034,-0.061,0.131,0.99,0.004,0.535,0.516,0,0,1,None
1758848560419,0,0.04,1.071,0.034,-0.061,0.131,0.99,0.004,0.535,0.516,0,0,1,None
1758848560531,0,0.04,1.071,0.034,-0.06,0.131,0.99,0.004,0.535,0.516,0,0,1,None
1758848560637,0,0.04,1.071,0.034,-0.06,0.132,0.989,0.004,0.535,0.516,0,0,1,None
1758848560741,0,0.04,1.071,0.034,-0.06,0.132,0.989,0.004,0.535,0.516,0,0,1,None
1758848560852,0,0.04,1.071,0.034,-0.06,0.133,0.989,0.004,0.535,0.516,0,0,1,None
1758848560961,0,0.04,1.071,0.034,-0.062,0.133,0.989,0.004,0.535,0.516,0,0,1,None
1758848561071,0,0.04,1.071,0.035,-0.06,0.132,0.989,0.004,0.535,0.516,0,0,1,None
1758848561181,0,0.04,1.07,0.035,-0.06,0.13,0.99,0.004,0.535,0.516,0,0,1,None
1758848561294,0,0.04,1.071,0.034,-0.06,0.131,0.99,0.004,0.535,0.516,0,0,1,None
1758848561399,0,0.04,1.071,0.034,-0.06,0.133,0.989,0.004,0.535,0.516,0,0,1,None
1758848561507,0,0.04,1.071,0.034,-0.061,0.135,0.989,0.004,0.535,0.516,0,0,1,None
1758848561614,0,0.04,1.071,0.034,-0.06,0.139,0.988,0.004,0.535,0.516,0,0,1,None
1758848561726,0,0.042,1.082,0.031,-0.038,0.24,0.97,0.005,0.541,0.515,0,0,1,None
1758848561834,0,0.049,1.1,0.022,0.027,0.424,0.905,0.008,0.55,0.511,0,0,1,None
1758848561937,0,0.057,1.11,0.01,0.083,0.554,0.828,0.012,0.555,0.507,0,0,1,None
1758848562048,0,0.066,1.116,-0.001,0.131,0.631,0.764,0.017,0.558,0.502,0,0,1,None
1758848562159,0,0.072,1.117,-0.011,0.164,0.642,0.749,0.02,0.559,0.498,0,0,1,None
1758848562265,0,0.074,1.118,-0.018,0.19,0.664,0.723,0.021,0.56,0.495,0,0,1,None
1758848562369,0,0.074,1.12,-0.024,0.213,0.676,0.705,0.021,0.56,0.492,0,0,1,None
1758848562480,0,0.073,1.12,-0.026,0.241,0.673,0.7,0.021,0.561,0.492,0,0,1,None
1758848562592,0,0.074,1.119,-0.026,0.256,0.675,0.692,0.022,0.561,0.492,0,0,1,None
1758848562706,0,0.076,1.118,-0.025,0.264,0.663,0.7,0.022,0.56,0.493,0,0,1,None
1758848562824,0,0.073,1.118,-0.022,0.239,0.66,0.713,0.021,0.56,0.493,0,0,1,None
1758848562929,0,0.071,1.119,-0.021,0.219,0.67,0.709,0.02,0.561,0.493,0,0,1,None
1758848563037,0,0.071,1.118,-0.02,0.217,0.662,0.718,0.02,0.56,0.494,0,0,1,None
1758848563147,0,0.071,1.117,-0.019,0.209,0.643,0.737,0.02,0.56,0.494,0,0,1,None
1758848563259,0,0.069,1.117,-0.018,0.189,0.653,0.733,0.019,0.56,0.494,0,0,1,None
1758848563370,0,0.07,1.117,-0.019,0.191,0.656,0.73,0.019,0.56,0.493,0,0,1,None
1758848563481,0,0.072,1.117,-0.017,0.199,0.652,0.731,0.02,0.56,0.494,0,0,1,None
1758848563576,0,0.072,1.116,-0.017,0.199,0.641,0.742,0.02,0.56,0.494,0,0,1,None
1758848563682,0,0.072,1.117,-0.018,0.19,0.658,0.728,0.02,0.56,0.493,0,0,1,None
1758848563802,0,0.072,1.117,-0.019,0.197,0.66,0.725,0.02,0.561,0.493,0,0,1,None
1758848563915,0,0.074,1.117,-0.018,0.211,0.656,0.725,0.021,0.56,0.494,0,0,1,None
1758848564026,0,0.074,1.117,-0.018,0.209,0.652,0.728,0.021,0.56,0.494,0,0,1,None
1758848564145,0,0.071,1.117,-0.017,0.186,0.656,0.731,0.02,0.56,0.494,0,0,1,None
1758848564253,0,0.071,1.116,-0.015,0.193,0.659,0.727,0.02,0.56,0.495,0,0,1,None
1758848564360,0,0.073,1.115,-0.01,0.198,0.637,0.745,0.02,0.559,0.498,0,0,1,None
1758848564466,0,0.074,1.114,-0.001,0.183,0.621,0.762,0.021,0.558,0.502,0,0,1,None
1758848564585,0,0.072,1.114,0.011,0.166,0.619,0.767,0.02,0.558,0.508,0,0,1,None
1758848564692,0,0.071,1.117,0.031,0.17,0.626,0.761,0.019,0.559,0.519,0,0,1,None
1758848564795,0,0.07,1.12,0.052,0.186,0.627,0.757,0.019,0.56,0.53,0,0,1,None
1758848564904,0,0.07,1.123,0.076,0.205,0.604,0.77,0.019,0.561,0.542,0,0,1,None
1758848565011,0,0.072,1.129,0.097,0.225,0.607,0.763,0.021,0.564,0.553,0,0,1,None
1758848565136,0,0.078,1.135,0.115,0.256,0.609,0.751,0.023,0.567,0.563,0,0,1,None
1758848565244,0,0.08,1.138,0.128,0.285,0.596,0.75,0.025,0.569,0.57,0,0,1,None
1758848565381,0,0.083,1.144,0.146,0.317,0.6,0.735,0.026,0.572,0.579,0,0,1,None
1758848565489,0,0.086,1.146,0.162,0.342,0.598,0.725,0.028,0.573,0.588,0,0,1,None
1758848565594,0,0.091,1.147,0.178,0.356,0.594,0.721,0.031,0.574,0.596,0,0,1,None
1758848565725,0,0.098,1.149,0.195,0.371,0.587,0.72,0.035,0.575,0.605,0,0,1,None
1758848565832,0,0.106,1.151,0.208,0.372,0.578,0.726,0.038,0.576,0.611,0,0,1,None
1758848565939,0,0.111,1.152,0.217,0.374,0.569,0.733,0.041,0.576,0.616,0,0,1,None
1758848566044,0,0.116,1.154,0.226,0.375,0.56,0.738,0.043,0.577,0.62,0,0,1,None
1758848566155,0,0.118,1.157,0.233,0.368,0.56,0.742,0.044,0.579,0.624,0,0,1,None
1758848566265,0,0.118,1.158,0.24,0.36,0.561,0.745,0.045,0.579,0.627,0,0,1,None
1758848566375,0,0.118,1.158,0.246,0.351,0.552,0.756,0.044,0.579,0.63,0,0,1,None
1758848566498,0,0.116,1.155,0.254,0.336,0.53,0.779,0.043,0.577,0.634,0,0,1,None
1758848566607,0,0.113,1.147,0.263,0.324,0.452,0.831,0.042,0.573,0.637,0,0,1,None
1758848566713,0,0.111,1.139,0.269,0.302,0.363,0.881,0.04,0.569,0.64,0,0,1,None
1758848566821,0,0.108,1.13,0.275,0.264,0.286,0.921,0.038,0.565,0.642,0,0,1,None
1758848566928,0,0.105,1.125,0.279,0.231,0.241,0.943,0.037,0.563,0.643,0,0,1,None
1758848567041,0,0.103,1.121,0.283,0.191,0.198,0.961,0.036,0.56,0.645,0,0,1,None
1758848567159,0,0.104,1.118,0.285,0.178,0.17,0.969,0.036,0.559,0.646,0,0,1,None
1758848567269,0,0.104,1.116,0.286,0.165,0.16,0.973,0.036,0.558,0.646,0,0,1,None
1758848567376,0,0.1,1.115,0.288,0.124,0.147,0.981,0.034,0.557,0.646,0,0,1,None
1758848567501,0,0.094,1.112,0.291,0.045,0.125,0.991,0.031,0.556,0.646,0,0,1,None
1758848567621,0,0.089,1.109,0.293,-0.017,0.105,0.994,0.028,0.554,0.646,0,0,1,None
1758848567726,0,0.086,1.106,0.294,-0.055,0.084,0.995,0.027,0.553,0.646,0,0,1,None
1758848567830,0,0.085,1.105,0.295,-0.061,0.074,0.995,0.026,0.552,0.647,0,0,1,None
1758848567937,0,0.086,1.104,0.296,-0.044,0.071,0.996,0.027,0.552,0.647,0,0,1,None
1758848568047,0,0.087,1.104,0.296,-0.029,0.07,0.997,0.028,0.552,0.648,0,0,1,None
1758848568156,0,0.089,1.104,0.296,-0.018,0.064,0.998,0.028,0.552,0.648,0,0,1,None
1758848568271,0,0.093,1.105,0.294,0.03,0.052,0.998,0.03,0.552,0.647,0,0,1,None
1758848568379,0,0.1,1.104,0.291,0.042,0.061,0.997,0.034,0.552,0.646,0,0,1,None
1758848568492,0,0.106,1.104,0.287,0.091,0.027,0.996,0.037,0.552,0.645,0,0,1,None
1758848568600,0,0.106,1.101,0.285,0.111,0.025,0.993,0.037,0.551,0.644,0,0,1,None
1758848568706,0,0.105,1.102,0.284,0.108,0.026,0.994,0.037,0.551,0.644,0,0,1,None
1758848568815,0,0.106,1.101,0.282,0.111,0.02,0.994,0.037,0.551,0.643,0,0,1,None
