
Timestamp(ms),GaugeValue,HeadPos.x,HeadPos.y,HeadPos.z,HeadForward.x,HeadForward.y,HeadForward.z,GazePos.x,GazePos.y,GazePos.z,GazeDirection.x,GazeDirection.y,GazeDirection.z,ObjLookingAt
1758855116379,0,-0.001,0.759,-0.126,-0.042,0.141,0.989,-0.001,1.056,-0.271,-0.029,-0.079,0.996,Slide 1
1758855116393,0,-0.001,0.759,-0.126,-0.042,0.141,0.989,-0.001,1.056,-0.271,-0.029,-0.079,0.996,Slide 1
1758855116414,0,-0.001,0.759,-0.126,-0.042,0.142,0.989,-0.001,1.056,-0.271,-0.029,-0.079,0.996,Slide 1
1758855116522,0,-0.001,0.759,-0.126,-0.042,0.141,0.989,-0.001,1.056,-0.271,0.043,-0.041,0.998,Slide 1
1758855116544,0,-0.001,0.759,-0.126,-0.042,0.141,0.989,-0.001,1.056,-0.271,0.043,-0.041,0.998,Slide 1
1758855116595,0,-0.002,0.759,-0.126,-0.042,0.141,0.989,-0.001,1.056,-0.271,0.04,-0.041,0.998,Slide 1
1758855116648,0,-0.002,0.759,-0.126,-0.043,0.142,0.989,-0.002,1.056,-0.271,0.038,-0.039,0.998,Slide 1
1758855116728,0,-0.002,0.759,-0.126,-0.043,0.142,0.989,-0.002,1.056,-0.271,0.015,-0.139,0.99,None
1758855116757,0,-0.002,0.759,-0.126,-0.042,0.14,0.989,-0.002,1.056,-0.271,0.015,-0.141,0.99,None
1758855116833,0,-0.001,0.759,-0.126,-0.042,0.141,0.989,-0.001,1.056,-0.271,0.015,-0.142,0.99,None
1758855116880,0,-0.001,0.759,-0.126,-0.042,0.14,0.989,-0.001,1.056,-0.271,0.029,-0.011,1,Slide 1
1758855116962,0,-0.001,0.759,-0.126,-0.042,0.14,0.989,-0.001,1.056,-0.271,0.03,-0.012,0.999,Slide 1
1758855116990,0,-0.002,0.759,-0.126,-0.043,0.139,0.989,-0.001,1.056,-0.271,0.028,-0.008,1,Slide 1
1758855117045,0,-0.002,0.759,-0.126,-0.044,0.14,0.989,-0.002,1.056,-0.271,0.027,-0.01,1,Slide 1
1758855117128,0,-0.002,0.759,-0.126,-0.043,0.14,0.989,-0.002,1.056,-0.271,0.027,-0.009,1,Slide 1
1758855117155,0,-0.002,0.759,-0.126,-0.043,0.14,0.989,-0.002,1.056,-0.271,0.028,-0.008,1,Slide 1
1758855117236,0,-0.002,0.759,-0.126,-0.043,0.139,0.989,-0.002,1.056,-0.271,0.047,0.023,0.999,Slide 1
1758855117298,0,-0.002,0.759,-0.126,-0.044,0.139,0.989,-0.002,1.056,-0.271,0.047,0.025,0.999,Slide 1
1758855117346,0,-0.002,0.759,-0.125,-0.045,0.139,0.989,-0.002,1.056,-0.27,0.045,0.034,0.998,Slide 1
1758855117404,0,-0.002,0.759,-0.125,-0.044,0.138,0.989,-0.002,1.056,-0.27,0.048,0.036,0.998,Slide 1
1758855117509,0,-0.002,0.759,-0.125,-0.043,0.138,0.989,-0.002,1.056,-0.27,0.048,0.036,0.998,Slide 1
1758855117538,0,-0.002,0.759,-0.125,-0.044,0.138,0.989,-0.002,1.056,-0.27,0.048,0.037,0.998,Slide 1
1758855117569,0,-0.002,0.759,-0.125,-0.044,0.138,0.99,-0.002,1.056,-0.27,0.051,0.063,0.997,Slide 1
