
Timestamp,Target,SlideNumber,Type,Source
2025-09-25T21:32:43.2285034-04:00,Highlight_1.1,1,OPEN,USER
2025-09-25T21:32:43.7782636-04:00,Highlight_1.1,1,CLOSE,USER
2025-09-25T21:32:45.8982332-04:00,Highlight_1.2,1,OPEN,USER
2025-09-25T21:32:46.6013530-04:00,Highlight_1.2,1,CLOSE,USER
2025-09-25T21:32:48.1233596-04:00,Highlight_1.2,1,OPEN,USER
2025-09-25T21:32:49.2469758-04:00,Highlight_1.1,1,OPEN,USER
2025-09-25T21:32:52.5366738-04:00,Highlight_1.1,1,CLOSE,USER
2025-09-25T21:33:12.1188176-04:00,Highlight_2.1,2,OPEN,USER
2025-09-25T21:33:12.7670431-04:00,Highlight_2.1,2,CLOSE,USER
2025-09-25T21:33:14.0242793-04:00,Highlight_2.2,2,OPEN,USER
2025-09-25T21:33:14.4916409-04:00,Highlight_2.2,2,CLOSE,USER
