
Timestamp,Target,SlideNumber,Type,Source
2025-09-25T21:55:11.3072097-04:00,Highlight_1.1,1,OPEN,USER
2025-09-25T21:55:11.9723397-04:00,Highlight_1.1,1,CLOSE,USER
2025-09-25T21:55:12.8786300-04:00,Highlight_1.2,1,OPEN,USER
2025-09-25T21:55:13.3978768-04:00,Highlight_1.2,1,CLOSE,USER
2025-09-25T21:55:13.8402625-04:00,Highlight_1.2,1,OPEN,USER
2025-09-25T21:55:14.2505074-04:00,Highlight_1.2,1,CLOSE,USER
2025-09-25T21:55:15.3753232-04:00,Highlight_1.1,1,OPEN,USER
2025-09-25T21:55:15.9152134-04:00,Highlight_1.1,1,CLOSE,USER
2025-09-25T21:55:35.3745103-04:00,Highlight_1.2,1,OPEN,USER
2025-09-25T21:55:35.7631474-04:00,Highlight_1.2,1,CLOSE,SYSTEM
