
Timestamp(ms),GaugeValue,HeadPos.x,HeadPos.y,HeadPos.z,HeadForward.x,HeadForward.y,HeadForward.z,GazePos.x,GazePos.y,GazePos.z,GazeDirection.x,GazeDirection.y,GazeDirection.z,AOIName
1758852352763,0,0.042,0.767,0.057,0.141,0.531,0.836,0.005,0.383,0.532,0,0,1,None
1758852352854,0,0.042,0.766,0.06,0.148,0.516,0.844,0.005,0.383,0.533,0,0,1,None
1758852352957,0,0.04,0.763,0.065,0.146,0.491,0.859,0.004,0.382,0.535,0,0,1,None
1758852353067,0,0.039,0.762,0.067,0.143,0.473,0.869,0.004,0.381,0.536,0,0,1,None
1758852353180,0,0.037,0.755,0.073,0.122,0.375,0.919,0.003,0.377,0.539,0,0,1,None
1758852353290,0,0.034,0.746,0.078,0.093,0.273,0.957,0.001,0.373,0.541,0,0,1,None
1758852353424,0,0.031,0.741,0.081,0.059,0.228,0.972,-0.001,0.371,0.541,0,0,1,None
1758852353508,0,0.029,0.74,0.082,0.051,0.209,0.977,-0.002,0.37,0.542,0,0,1,None
1758852353621,0,0.029,0.739,0.082,0.064,0.216,0.974,-0.001,0.37,0.542,0,0,1,None
1758852353734,0,0.03,0.739,0.082,0.068,0.215,0.974,-0.001,0.37,0.542,0,0,1,None
1758852353847,0,0.03,0.739,0.083,0.066,0.213,0.975,-0.001,0.37,0.543,0,0,1,None
1758852353957,0,0.031,0.739,0.084,0.062,0.21,0.976,-0.001,0.369,0.543,0,0,1,None
1758852354069,0,0.031,0.738,0.085,0.063,0.209,0.976,-0.001,0.369,0.544,0,0,1,None
1758852354184,0,0.031,0.738,0.086,0.064,0.208,0.976,-0.001,0.369,0.544,0,0,1,None
1758852354292,0,0.031,0.738,0.087,0.064,0.205,0.977,-0.001,0.369,0.545,0,0,1,None
1758852354406,0,0.031,0.738,0.088,0.063,0.204,0.977,-0.001,0.369,0.545,0,0,1,None
1758852354516,0,0.031,0.738,0.088,0.062,0.204,0.977,-0.001,0.369,0.545,0,0,1,None
1758852354623,0,0.029,0.736,0.088,0.052,0.179,0.982,-0.002,0.368,0.545,0,0,1,None
1758852354739,0,0.029,0.73,0.089,0.014,0.106,0.994,-0.002,0.364,0.545,0,0,1,None
1758852354849,0,0.033,0.726,0.088,0.023,0.058,0.998,0,0.363,0.545,0,0,1,None
1758852354958,0,0.042,0.727,0.087,0.123,0.058,0.991,0.005,0.364,0.546,0,0,1,None
1758852355073,0,0.045,0.731,0.084,0.185,0.123,0.975,0.007,0.365,0.545,0,0,1,None
1758852355185,0,0.044,0.731,0.082,0.176,0.107,0.979,0.006,0.365,0.544,0,0,1,None
1758852355294,0,0.041,0.731,0.081,0.136,0.095,0.986,0.004,0.365,0.543,0,0,1,None
1758852355405,0,0.036,0.731,0.08,0.079,0.101,0.992,0.002,0.365,0.541,0,0,1,None
1758852355519,0,0.03,0.728,0.077,0.008,0.054,0.999,-0.001,0.364,0.539,0,0,1,None
1758852355627,0,0.028,0.728,0.076,-0.012,0.049,0.999,-0.002,0.364,0.538,0,0,1,None
1758852355741,0,0.026,0.728,0.075,-0.022,0.051,0.998,-0.003,0.364,0.537,0,0,1,None
1758852355853,0,0.025,0.728,0.076,-0.019,0.055,0.998,-0.004,0.364,0.538,0,0,1,None
