
Timestamp,Target,SlideNumber,Type,Source
2025-09-25T21:21:10.7750504-04:00,Highlight_2.1,2,OPEN,USER
2025-09-25T21:21:13.3415545-04:00,Highlight_2.1,2,CLOSE,USER
2025-09-25T21:21:17.8731345-04:00,Highlight_2.3,2,OPEN,USER
2025-09-25T21:21:18.5889164-04:00,Highlight_2.4,2,OPEN,USER
2025-09-25T21:21:19.3101539-04:00,Highlight_2.4,2,CLOSE,USER
2025-09-25T21:21:20.7551927-04:00,Highlight_2.2,2,OPEN,USER
2025-09-25T21:21:22.9619715-04:00,Highlight_2.2,2,CLOSE,USER
2025-09-25T21:21:23.4875961-04:00,Highlight_2.2,2,OPEN,USER
2025-09-25T21:21:23.9598168-04:00,Highlight_2.2,2,CLOSE,USER
2025-09-25T21:21:24.2849321-04:00,Highlight_2.2,2,OPEN,USER
2025-09-25T21:21:24.6868510-04:00,Highlight_2.3,2,OPEN,USER
