
Timestamp(ms),GaugeValue,HeadPos.x,HeadPos.y,HeadPos.z,HeadForward.x,HeadForward.y,HeadForward.z,GazePos.x,GazePos.y,GazePos.z,GazeDirection.x,GazeDirection.y,GazeDirection.z,ObjLookingAt
1758856068766,81.282,0.006,0.825,0.215,-0.023,0.127,0.992,0.006,1.122,0.07,-0.183,0.11,0.977,Slide 1
1758856068825,81.282,0.006,0.825,0.215,-0.023,0.126,0.992,0.006,1.122,0.07,-0.182,0.112,0.977,Slide 1
1758856068907,81.282,0.006,0.825,0.215,-0.023,0.126,0.992,0.006,1.122,0.07,-0.176,0.046,0.983,Slide 1
1758856068938,81.282,0.006,0.825,0.215,-0.025,0.128,0.991,0.006,1.122,0.07,-0.177,0.022,0.984,Slide 1
1758856068989,81.282,0.006,0.825,0.215,-0.026,0.129,0.991,0.006,1.122,0.07,-0.178,0.026,0.984,Slide 1
1758856069043,81.282,0.006,0.825,0.215,-0.026,0.126,0.992,0.006,1.122,0.07,-0.179,0.023,0.984,Slide 1
1758856069127,81.282,0.006,0.825,0.215,-0.025,0.128,0.991,0.006,1.122,0.07,-0.208,0.004,0.978,Slide 1
1758856069182,81.282,0.006,0.825,0.215,-0.024,0.127,0.992,0.006,1.122,0.07,-0.205,0.007,0.979,Slide 1
1758856069212,81.282,0.006,0.824,0.215,-0.024,0.125,0.992,0.006,1.121,0.07,-0.204,0.005,0.979,Slide 1
1758856069266,81.282,0.006,0.825,0.215,-0.025,0.125,0.992,0.006,1.121,0.07,-0.205,0.004,0.979,Slide 1
1758856069348,81.282,0.006,0.824,0.215,-0.025,0.127,0.992,0.006,1.122,0.07,-0.118,0.042,0.992,Slide 1
1758856069407,81.282,0.006,0.824,0.215,-0.024,0.125,0.992,0.006,1.121,0.07,-0.112,0.042,0.993,Slide 1
1758856069462,81.282,0.006,0.824,0.216,-0.025,0.124,0.992,0.006,1.121,0.071,-0.112,0.042,0.993,Slide 1
1758856069514,81.282,0.006,0.824,0.216,-0.026,0.125,0.992,0.006,1.121,0.071,-0.112,0.045,0.993,Slide 1
1758856069570,81.282,0.006,0.824,0.216,-0.025,0.124,0.992,0.006,1.121,0.071,-0.097,0.045,0.994,Slide 1
1758856069627,81.282,0.006,0.824,0.216,-0.025,0.123,0.992,0.006,1.121,0.071,-0.096,0.042,0.994,Slide 1
1758856069683,81.282,0.006,0.824,0.216,-0.025,0.126,0.992,0.006,1.121,0.071,-0.097,0.044,0.994,Slide 1
1758856069739,81.282,0.006,0.824,0.216,-0.023,0.125,0.992,0.006,1.121,0.071,-0.086,0.048,0.995,Slide 1
1758856069798,81.282,0.006,0.824,0.216,-0.022,0.123,0.992,0.006,1.121,0.071,0.039,0.08,0.996,Slide 1
1758856069851,81.282,0.006,0.824,0.216,-0.022,0.124,0.992,0.006,1.121,0.071,0.05,0.081,0.995,Slide 1
1758856069903,81.282,0.006,0.824,0.215,-0.021,0.126,0.992,0.006,1.121,0.07,0.053,0.089,0.995,Slide 1
1758856069938,81.282,0.006,0.824,0.215,-0.02,0.124,0.992,0.006,1.121,0.07,0.055,0.089,0.995,Slide 1
1758856069989,81.282,0.006,0.824,0.215,-0.02,0.123,0.992,0.006,1.121,0.07,0.074,0.088,0.993,Slide 1
1758856070048,81.282,0.006,0.825,0.215,-0.02,0.125,0.992,0.006,1.121,0.07,0.071,0.092,0.993,Slide 1
1758856070103,81.282,0.007,0.824,0.215,-0.019,0.129,0.992,0.007,1.121,0.07,0.07,0.097,0.993,Slide 1
1758856070185,81.282,0.007,0.824,0.215,-0.016,0.124,0.992,0.007,1.121,0.07,0.073,0.092,0.993,Slide 1
1758856070222,81.282,0.007,0.825,0.215,-0.016,0.126,0.992,0.007,1.122,0.07,0.073,0.093,0.993,Slide 1
1758856070294,81.282,0.007,0.824,0.215,-0.016,0.125,0.992,0.007,1.121,0.07,0.064,0.09,0.994,Slide 1
1758856070353,81.282,0.007,0.824,0.215,-0.016,0.124,0.992,0.007,1.121,0.071,0.063,0.09,0.994,Slide 1
1758856070406,81.282,0.007,0.825,0.215,-0.016,0.126,0.992,0.007,1.122,0.07,0.06,0.089,0.994,Slide 1
1758856070465,81.282,0.008,0.825,0.215,-0.015,0.127,0.992,0.008,1.122,0.07,0.057,0.091,0.994,Slide 1
1758856070523,81.282,0.008,0.825,0.215,-0.015,0.127,0.992,0.008,1.121,0.07,0.064,0.09,0.994,Slide 1
1758856070601,81.282,0.008,0.825,0.215,-0.016,0.128,0.992,0.008,1.122,0.07,0.059,0.088,0.994,Slide 1
1758856070659,81.282,0.008,0.825,0.215,-0.016,0.128,0.992,0.008,1.122,0.07,0.057,0.089,0.994,Slide 1
1758856070714,81.282,0.008,0.825,0.215,-0.016,0.127,0.992,0.008,1.122,0.07,0.059,0.09,0.994,Slide 1
1758856070774,81.282,0.008,0.825,0.215,-0.016,0.128,0.992,0.008,1.122,0.07,0.058,0.085,0.995,Slide 1
1758856070826,81.282,0.008,0.825,0.215,-0.016,0.129,0.991,0.008,1.122,0.07,0.056,0.087,0.995,Slide 1
1758856070905,81.282,0.008,0.825,0.215,-0.016,0.128,0.992,0.008,1.122,0.07,0.059,0.088,0.994,Slide 1
1758856070958,81.282,0.008,0.825,0.215,-0.016,0.129,0.992,0.008,1.122,0.07,0.057,0.088,0.995,Slide 1
1758856071015,81.282,0.007,0.825,0.215,-0.016,0.13,0.991,0.007,1.122,0.07,0.055,0.091,0.994,Slide 1
1758856071045,81.282,0.007,0.825,0.215,-0.015,0.129,0.992,0.007,1.122,0.07,0.058,0.091,0.994,Slide 1
1758856071125,81.282,0.007,0.825,0.215,-0.015,0.128,0.992,0.007,1.122,0.07,0.06,0.085,0.995,Slide 1
1758856071183,81.282,0.007,0.825,0.215,-0.016,0.129,0.992,0.007,1.122,0.07,0.103,0.078,0.992,Slide 1
1758856071238,81.282,0.007,0.825,0.215,-0.015,0.129,0.992,0.007,1.122,0.07,0.287,0.018,0.958,Slide 1
1758856071266,81.282,0.007,0.825,0.215,-0.015,0.128,0.992,0.007,1.122,0.07,0.372,-0.001,0.928,Popup_1
1758856071352,81.282,0.007,0.825,0.215,-0.016,0.131,0.991,0.007,1.122,0.07,0.371,0.001,0.929,Popup_1
1758856071381,81.282,0.007,0.825,0.215,-0.015,0.131,0.991,0.007,1.122,0.07,0.365,0.009,0.931,Popup_1
1758856071463,81.282,0.008,0.825,0.215,-0.014,0.127,0.992,0.007,1.122,0.07,0.357,0.03,0.934,Popup_1
1758856071538,81.282,0.008,0.825,0.215,-0.015,0.129,0.992,0.008,1.122,0.07,0.356,0.027,0.934,Popup_1
1758856071569,81.282,0.008,0.825,0.215,-0.014,0.129,0.992,0.008,1.122,0.07,0.353,0.031,0.935,Popup_1
1758856071625,81.282,0.008,0.824,0.216,-0.013,0.128,0.992,0.008,1.122,0.071,0.356,0.033,0.934,Popup_1
1758856071679,81.282,0.008,0.825,0.216,-0.012,0.127,0.992,0.008,1.122,0.071,0.41,0.039,0.911,Popup_1
1758856071762,81.282,0.008,0.825,0.216,-0.013,0.129,0.992,0.008,1.122,0.071,0.406,0.043,0.913,Popup_1
1758856071794,81.282,0.008,0.824,0.216,-0.014,0.127,0.992,0.008,1.121,0.071,0.406,0.043,0.913,Popup_1
1758856071854,81.282,0.008,0.825,0.216,-0.014,0.127,0.992,0.008,1.121,0.071,0.4,0.045,0.916,Popup_1
1758856071881,81.282,0.007,0.825,0.215,-0.015,0.129,0.992,0.008,1.122,0.071,0.114,0.091,0.989,Slide 1
1758856071964,81.282,0.007,0.824,0.215,-0.014,0.129,0.992,0.007,1.121,0.07,0.108,0.094,0.99,Slide 1
1758856072022,81.282,0.007,0.825,0.215,-0.013,0.126,0.992,0.007,1.121,0.07,0.068,0.092,0.993,Slide 1
1758856072079,81.282,0.007,0.825,0.215,-0.015,0.129,0.992,0.007,1.122,0.07,0.067,0.093,0.993,Slide 1
1758856072110,81.282,0.007,0.824,0.216,-0.015,0.129,0.991,0.007,1.122,0.07,0.066,0.093,0.993,Slide 1
1758856072163,81.282,0.007,0.824,0.216,-0.014,0.126,0.992,0.007,1.121,0.071,0.07,0.087,0.994,Slide 1
1758856072245,81.282,0.007,0.824,0.216,-0.015,0.126,0.992,0.007,1.121,0.071,0.349,0.025,0.937,Popup_1
1758856072281,81.282,0.007,0.824,0.216,-0.016,0.128,0.992,0.007,1.121,0.071,0.382,0.015,0.924,Popup_1
1758856072355,81.282,0.007,0.824,0.216,-0.014,0.125,0.992,0.007,1.121,0.071,0.384,0.011,0.923,Popup_1
1758856072412,81.282,0.007,0.824,0.216,-0.015,0.125,0.992,0.007,1.121,0.071,0.386,0.01,0.922,Popup_1
1758856072470,81.282,0.007,0.824,0.216,-0.017,0.127,0.992,0.007,1.121,0.071,0.384,0.011,0.923,Popup_1
1758856072524,81.282,0.007,0.824,0.216,-0.017,0.125,0.992,0.007,1.121,0.071,0.38,0.017,0.925,Popup_1
1758856072605,81.282,0.007,0.824,0.216,-0.016,0.125,0.992,0.007,1.121,0.071,-0.131,0.077,0.988,Slide 1
1758856072637,81.282,0.007,0.824,0.216,-0.017,0.126,0.992,0.007,1.121,0.071,-0.131,0.078,0.988,Slide 1
1758856072692,81.282,0.007,0.824,0.216,-0.018,0.123,0.992,0.007,1.121,0.071,-0.102,0.069,0.992,Slide 1
1758856072752,81.282,0.007,0.824,0.217,-0.019,0.122,0.992,0.007,1.121,0.071,-0.103,0.055,0.993,Slide 1
1758856072807,81.282,0.007,0.824,0.217,-0.019,0.122,0.992,0.007,1.121,0.072,-0.101,0.051,0.994,Slide 1
1758856072884,81.282,0.007,0.824,0.217,-0.018,0.122,0.992,0.007,1.121,0.072,-0.096,0.053,0.994,Slide 1
1758856072943,81.282,0.007,0.824,0.217,-0.019,0.122,0.992,0.007,1.121,0.072,-0.097,0.052,0.994,Slide 1
1758856072994,81.282,0.007,0.824,0.217,-0.021,0.121,0.992,0.007,1.121,0.072,-0.099,0.052,0.994,Slide 1
1758856073053,81.282,0.006,0.824,0.217,-0.021,0.12,0.993,0.006,1.12,0.072,-0.099,0.053,0.994,Slide 1
1758856073111,81.282,0.006,0.824,0.217,-0.021,0.12,0.993,0.006,1.121,0.072,-0.096,0.053,0.994,Slide 1
1758856073165,81.282,0.006,0.824,0.217,-0.023,0.119,0.993,0.006,1.121,0.072,-0.095,0.055,0.994,Slide 1
1758856073221,81.282,0.006,0.823,0.217,-0.024,0.118,0.993,0.006,1.12,0.072,-0.097,0.054,0.994,Slide 1
1758856073277,81.282,0.006,0.823,0.217,-0.024,0.117,0.993,0.006,1.12,0.072,-0.1,0.051,0.994,Slide 1
1758856073309,81.282,0.006,0.823,0.217,-0.024,0.116,0.993,0.006,1.12,0.072,-0.1,0.048,0.994,Slide 1
1758856073363,81.282,0.006,0.823,0.217,-0.024,0.115,0.993,0.006,1.12,0.072,-0.094,0.048,0.994,Slide 1
1758856073444,81.282,0.006,0.823,0.217,-0.023,0.115,0.993,0.006,1.12,0.073,-0.094,0.048,0.994,Slide 1
1758856073500,81.282,0.006,0.823,0.218,-0.023,0.115,0.993,0.006,1.12,0.073,0.24,0.044,0.97,Slide 1
1758856073554,81.282,0.006,0.823,0.218,-0.022,0.115,0.993,0.006,1.12,0.073,0.356,0.044,0.934,Popup_1
1758856073610,81.282,0.006,0.823,0.218,-0.022,0.114,0.993,0.006,1.12,0.073,0.353,0.04,0.935,Popup_1
1758856073666,81.282,0.006,0.823,0.218,-0.022,0.113,0.993,0.006,1.12,0.073,0.354,0.04,0.934,Popup_1
1758856073725,81.282,0.006,0.823,0.218,-0.022,0.113,0.993,0.006,1.12,0.073,0.358,0.041,0.933,Popup_1
1758856073779,81.282,0.006,0.823,0.218,-0.022,0.112,0.993,0.006,1.12,0.073,0.36,0.039,0.932,Popup_1
1758856073861,81.282,0.006,0.823,0.218,-0.022,0.112,0.993,0.006,1.12,0.073,0.357,0.041,0.933,Popup_1
1758856073889,81.282,0.006,0.823,0.218,-0.023,0.112,0.993,0.006,1.12,0.073,0.358,0.041,0.933,Popup_1
1758856073945,81.282,0.006,0.823,0.218,-0.022,0.113,0.993,0.006,1.12,0.073,0.358,0.046,0.933,Popup_1
1758856074002,81.282,0.006,0.823,0.218,-0.022,0.113,0.993,0.006,1.12,0.073,0.355,0.046,0.934,Popup_1
1758856074084,81.282,0.006,0.823,0.218,-0.022,0.112,0.993,0.006,1.12,0.073,0.358,0.045,0.932,Popup_1
1758856074141,81.282,0.006,0.823,0.218,-0.022,0.112,0.993,0.006,1.12,0.073,0.362,0.042,0.931,Popup_1
