
Timestamp(ms),GaugeValue,HeadPos.x,HeadPos.y,HeadPos.z,HeadForward.x,HeadForward.y,HeadForward.z,GazePos.x,GazePos.y,GazePos.z,GazeDirection.x,GazeDirection.y,GazeDirection.z,AOIName
1758849600208,0,0.072,1.114,0.043,0.148,0.332,0.932,0.02,0.558,0.524,0,0,1,None
1758849600295,0,0.075,1.117,0.044,0.135,0.359,0.924,0.021,0.56,0.524,0,0,1,None
1758849600387,0,0.081,1.117,0.065,0.118,0.362,0.925,0.025,0.56,0.534,0,0,1,None
1758849600499,0,0.085,1.118,0.083,0.1,0.361,0.927,0.026,0.56,0.543,0,0,1,None
1758849600612,0,0.087,1.121,0.1,0.089,0.365,0.927,0.027,0.561,0.551,0,0,1,None
1758849600737,0,0.09,1.124,0.117,0.076,0.368,0.927,0.029,0.563,0.56,0,0,1,None
1758849600850,0,0.092,1.125,0.127,0.06,0.374,0.925,0.03,0.563,0.564,0,0,1,None
1758849600959,0,0.096,1.122,0.132,0.064,0.357,0.932,0.032,0.562,0.567,0,0,1,None
1758849601070,0,0.099,1.12,0.133,0.084,0.347,0.934,0.033,0.561,0.568,0,0,1,None
1758849601186,0,0.102,1.119,0.13,0.112,0.339,0.934,0.035,0.56,0.567,0,0,1,None
1758849601297,0,0.104,1.117,0.126,0.154,0.321,0.934,0.036,0.559,0.566,0,0,1,None
1758849601425,0,0.105,1.113,0.122,0.21,0.285,0.935,0.037,0.557,0.564,0,0,1,None
1758849601529,0,0.106,1.108,0.118,0.264,0.24,0.934,0.037,0.555,0.563,0,0,1,None
1758849601640,0,0.105,1.104,0.116,0.297,0.2,0.934,0.037,0.553,0.563,0,0,1,None
1758849601766,0,0.104,1.102,0.115,0.313,0.186,0.931,0.037,0.552,0.562,0,0,1,None
1758849601876,0,0.101,1.101,0.116,0.298,0.171,0.939,0.035,0.551,0.563,0,0,1,None
1758849601989,0,0.098,1.099,0.119,0.276,0.153,0.949,0.034,0.55,0.564,0,0,1,None
1758849602100,0,0.091,1.097,0.123,0.207,0.131,0.97,0.03,0.548,0.565,0,0,1,None
1758849602209,0,0.084,1.095,0.125,0.147,0.119,0.982,0.026,0.547,0.565,0,0,1,None
1758849602332,0,0.08,1.094,0.125,0.108,0.107,0.988,0.024,0.547,0.564,0,0,1,None
1758849602435,0,0.078,1.094,0.124,0.085,0.107,0.991,0.023,0.547,0.564,0,0,1,None
1758849602547,0,0.076,1.094,0.123,0.071,0.109,0.991,0.022,0.547,0.563,0,0,1,None
1758849602657,0,0.074,1.094,0.12,0.053,0.107,0.993,0.021,0.547,0.561,0,0,1,None
1758849602770,0,0.077,1.093,0.116,0.041,0.103,0.994,0.022,0.546,0.559,0,0,1,None
1758849602880,0,0.083,1.093,0.111,0.041,0.096,0.995,0.025,0.546,0.556,0,0,1,None
1758849602992,0,0.09,1.093,0.105,0.044,0.102,0.994,0.029,0.547,0.553,0,0,1,None
1758849603102,0,0.099,1.096,0.101,0.048,0.125,0.991,0.033,0.548,0.551,0,0,1,None
1758849603217,0,0.109,1.097,0.098,0.066,0.146,0.987,0.038,0.549,0.55,0,0,1,None
1758849603327,0,0.122,1.099,0.096,0.132,0.168,0.977,0.045,0.55,0.55,0,0,1,None
1758849603435,0,0.132,1.104,0.095,0.192,0.214,0.958,0.05,0.552,0.551,0,0,1,None
1758849603540,0,0.139,1.105,0.096,0.222,0.221,0.95,0.054,0.553,0.551,0,0,1,None
1758849603649,0,0.145,1.104,0.094,0.244,0.213,0.946,0.057,0.552,0.551,0,0,1,None
1758849603760,0,0.148,1.104,0.09,0.276,0.206,0.939,0.059,0.552,0.549,0,0,1,None
1758849603868,0,0.148,1.106,0.084,0.296,0.219,0.93,0.059,0.553,0.547,0,0,1,None
1758849603975,0,0.151,1.109,0.082,0.294,0.226,0.929,0.06,0.554,0.546,0,0,1,None
1758849604088,0,0.154,1.108,0.083,0.295,0.22,0.93,0.061,0.554,0.546,0,0,1,None
1758849604192,0,0.153,1.106,0.086,0.279,0.205,0.938,0.061,0.553,0.548,0,0,1,None
1758849604300,0,0.147,1.102,0.09,0.257,0.166,0.952,0.058,0.551,0.549,0,0,1,None
1758849605022,0,0.139,1.101,0.093,0.224,0.167,0.96,0.054,0.551,0.55,0,0,1,None
1758849605071,0,0.12,1.094,0.102,0.129,0.145,0.981,0.044,0.547,0.553,0,0,1,None
1758849605162,0,0.124,1.091,0.103,0.119,0.136,0.983,0.046,0.545,0.553,0,0,1,None
1758849605271,0,0.127,1.089,0.101,0.121,0.129,0.984,0.048,0.545,0.552,0,0,1,None
1758849605377,0,0.132,1.088,0.098,0.124,0.129,0.984,0.05,0.544,0.551,0,0,1,None
1758849605496,0,0.137,1.09,0.096,0.132,0.152,0.98,0.052,0.545,0.55,0,0,1,None
1758849605610,0,0.14,1.093,0.095,0.138,0.184,0.973,0.054,0.547,0.55,0,0,1,None
1758849605717,0,0.143,1.095,0.096,0.136,0.194,0.972,0.055,0.548,0.55,0,0,1,None
1758849605824,0,0.146,1.094,0.096,0.143,0.197,0.97,0.057,0.547,0.55,0,0,1,None
1758849605929,0,0.147,1.094,0.094,0.155,0.192,0.969,0.058,0.547,0.549,0,0,1,None
1758849606039,0,0.145,1.094,0.092,0.144,0.19,0.971,0.057,0.547,0.549,0,0,1,None
1758849606148,0,0.143,1.093,0.092,0.119,0.195,0.973,0.055,0.547,0.548,0,0,1,None
1758849606256,0,0.141,1.094,0.092,0.094,0.21,0.973,0.054,0.547,0.548,0,0,1,None
1758849606362,0,0.138,1.094,0.091,0.073,0.21,0.975,0.053,0.547,0.547,0,0,1,None
1758849606471,0,0.136,1.093,0.09,0.054,0.212,0.976,0.052,0.546,0.546,0,0,1,None
1758849606580,0,0.133,1.092,0.087,0.03,0.208,0.978,0.05,0.546,0.544,0,0,1,None
1758849606693,0,0.132,1.088,0.085,0.016,0.2,0.98,0.05,0.544,0.543,0,0,1,None
1758849606795,0,0.131,1.086,0.081,0.022,0.185,0.983,0.049,0.543,0.541,0,0,1,None
1758849606902,0,0.131,1.089,0.078,0.024,0.209,0.978,0.049,0.545,0.539,0,0,1,None
1758849607012,0,0.13,1.091,0.079,0.029,0.224,0.974,0.049,0.545,0.54,0,0,1,None
1758849607121,0,0.129,1.094,0.082,0.03,0.242,0.97,0.048,0.547,0.541,0,0,1,None
1758849607226,0,0.129,1.094,0.084,0.009,0.237,0.971,0.048,0.546,0.542,0,0,1,None
1758849607335,0,0.134,1.099,0.084,0.031,0.26,0.965,0.051,0.549,0.542,0,0,1,None
1758849607448,0,0.14,1.106,0.077,0.151,0.316,0.936,0.054,0.553,0.541,0,0,1,None
1758849607554,0,0.141,1.118,0.065,0.246,0.456,0.855,0.055,0.559,0.537,0,0,1,None
1758849607658,0,0.138,1.125,0.055,0.289,0.532,0.796,0.054,0.562,0.533,0,0,1,None
1758849607767,0,0.131,1.127,0.05,0.313,0.549,0.775,0.051,0.563,0.531,0,0,1,None
1758849607873,0,0.126,1.128,0.05,0.315,0.557,0.769,0.048,0.564,0.531,0,0,1,None
1758849607982,0,0.123,1.13,0.051,0.322,0.575,0.753,0.047,0.564,0.532,0,0,1,None
1758849608090,0,0.122,1.128,0.055,0.329,0.579,0.746,0.046,0.564,0.535,0,0,1,None
1758849608187,0,0.124,1.127,0.059,0.335,0.574,0.747,0.047,0.563,0.536,0,0,1,None
1758849608317,0,0.126,1.127,0.064,0.343,0.571,0.746,0.048,0.563,0.539,0,0,1,None
1758849608426,0,0.126,1.127,0.067,0.334,0.566,0.753,0.049,0.563,0.54,0,0,1,None
1758849608549,0,0.125,1.125,0.071,0.293,0.563,0.773,0.048,0.562,0.541,0,0,1,None
1758849608655,0,0.127,1.124,0.071,0.306,0.55,0.777,0.049,0.562,0.542,0,0,1,None
1758849608763,0,0.129,1.124,0.071,0.322,0.554,0.768,0.05,0.562,0.542,0,0,1,None
1758849608868,0,0.13,1.124,0.07,0.337,0.554,0.761,0.05,0.562,0.542,0,0,1,None
1758849608989,0,0.131,1.124,0.07,0.349,0.556,0.754,0.051,0.561,0.542,0,0,1,None
1758849609095,0,0.132,1.124,0.07,0.351,0.557,0.752,0.051,0.562,0.542,0,0,1,None
