
Timestamp(ms),GaugeValue,HeadPos.x,HeadPos.y,HeadPos.z,HeadForward.x,HeadForward.y,HeadForward.z,GazePos.x,GazePos.y,GazePos.z,GazeDirection.x,GazeDirection.y,GazeDirection.z,AOIName
1758851628681,0,0.152,0.842,0.274,0.325,0.288,0.901,0,-0.307,0.645,0,0,1,None
1758851628810,0,0.138,0.829,0.285,0.15,0.15,0.977,0,-0.307,0.645,0,0,1,None
1758851628898,0,0.134,0.827,0.288,0.103,0.13,0.986,0,-0.307,0.645,0,0,1,None
1758851629015,0,0.129,0.824,0.291,0.054,0.098,0.994,0,-0.307,0.645,0,0,1,None
1758851629124,0,0.126,0.823,0.294,0.028,0.092,0.995,0,-0.307,0.645,0,0,1,None
1758851629236,0,0.123,0.822,0.295,0.007,0.09,0.996,0,-0.307,0.645,0,0,1,None
1758851629345,0,0.122,0.821,0.295,0.003,0.074,0.997,0,-0.307,0.645,0,0,1,None
1758851629456,0,0.122,0.82,0.296,0.004,0.074,0.997,0,-0.307,0.645,0,0,1,None
1758851629573,0,0.122,0.82,0.297,0.012,0.06,0.998,0,-0.307,0.645,0,0,1,None
1758851629682,0,0.121,0.819,0.297,0.002,0.063,0.998,0,-0.307,0.645,0,0,1,None
1758851629816,0,0.121,0.82,0.297,0.002,0.063,0.998,0,-0.307,0.645,0,0,1,None
1758851629926,0,0.12,0.819,0.296,-0.001,0.076,0.997,0,-0.307,0.645,0,0,1,None
1758851630041,0,0.12,0.822,0.296,0.001,0.074,0.997,0,-0.307,0.645,0,0,1,None
1758851630153,0,0.12,0.82,0.296,0.002,0.08,0.997,0,-0.307,0.645,0,0,1,None
1758851630266,0,0.121,0.822,0.296,0.007,0.073,0.997,0,-0.307,0.645,0,0,1,None
1758851630374,0,0.122,0.819,0.296,0.011,0.076,0.997,0,-0.307,0.645,0,0,1,None
1758851630489,0,0.122,0.822,0.296,0.012,0.078,0.997,0,-0.307,0.645,0,0,1,None
1758851630628,0,0.122,0.821,0.295,0.014,0.077,0.997,0,-0.307,0.645,0,0,1,None
1758851630708,0,0.122,0.823,0.295,0.019,0.095,0.995,0,-0.307,0.645,0,0,1,None
1758851630824,0,0.123,0.822,0.295,0.022,0.095,0.995,0,-0.307,0.645,0,0,1,None
1758851630930,0,0.122,0.823,0.295,0.025,0.102,0.994,0,-0.307,0.645,0,0,1,None
1758851631046,0,0.12,0.822,0.295,0.012,0.093,0.996,0,-0.307,0.645,0,0,1,None
1758851631156,0,0.116,0.827,0.295,-0.013,0.15,0.989,0,-0.307,0.645,0,0,1,None
1758851631271,0,0.113,0.835,0.293,-0.018,0.209,0.978,0,-0.307,0.645,0,0,1,None
1758851631378,0,0.113,0.834,0.291,-0.007,0.229,0.973,0,-0.307,0.645,0,0,1,None
1758851631489,0,0.112,0.838,0.29,0.006,0.229,0.973,0,-0.307,0.645,0,0,1,None
1758851631605,0,0.111,0.838,0.287,0.021,0.251,0.968,0,-0.307,0.645,0,0,1,None
1758851631713,0,0.108,0.851,0.279,0.063,0.323,0.944,0,-0.307,0.645,0,0,1,None
1758851631827,0,0.106,0.864,0.264,0.182,0.467,0.865,0,-0.307,0.645,0,0,1,None
1758851631938,0,0.1,0.872,0.254,0.269,0.538,0.799,0,-0.307,0.645,0,0,1,None
1758851632050,0,0.093,0.872,0.252,0.302,0.548,0.78,0,-0.307,0.645,0,0,1,None
1758851632216,0,0.088,0.871,0.255,0.335,0.541,0.772,0,-0.307,0.645,0,0,1,None
1758851632322,0,0.084,0.87,0.259,0.361,0.543,0.758,0,-0.307,0.645,0,0,1,None
1758851632432,0,0.086,0.869,0.259,0.373,0.527,0.764,0,-0.307,0.645,0,0,1,None
1758851632545,0,0.089,0.866,0.258,0.401,0.482,0.779,0,-0.307,0.645,0,0,1,None
1758851632687,0,0.09,0.864,0.258,0.395,0.456,0.797,0,-0.307,0.645,0,0,1,None
1758851632793,0,0.092,0.863,0.259,0.39,0.451,0.803,0,-0.307,0.645,0,0,1,None
1758851632911,0,0.095,0.864,0.259,0.391,0.457,0.799,0,-0.307,0.645,0,0,1,None
1758851633022,0,0.099,0.863,0.261,0.394,0.461,0.795,0,-0.307,0.645,0,0,1,None
1758851633134,0,0.101,0.865,0.261,0.392,0.47,0.791,0,-0.307,0.645,0,0,1,None
1758851633248,0,0.102,0.864,0.262,0.386,0.476,0.79,0,-0.307,0.645,0,0,1,None
1758851633385,0,0.103,0.866,0.26,0.388,0.481,0.786,0,-0.307,0.645,0,0,1,None
1758851633467,0,0.104,0.865,0.26,0.391,0.491,0.779,0,-0.307,0.645,0,0,1,None
1758851633582,0,0.105,0.867,0.26,0.386,0.497,0.777,0,-0.307,0.645,0,0,1,None
1758851633692,0,0.105,0.865,0.261,0.38,0.495,0.781,0,-0.307,0.645,0,0,1,None
1758851633804,0,0.107,0.867,0.26,0.376,0.5,0.78,0,-0.307,0.645,0,0,1,None
1758851633914,0,0.108,0.866,0.26,0.376,0.5,0.78,0,-0.307,0.645,0,0,1,None
1758851634054,0,0.11,0.866,0.26,0.376,0.496,0.783,0,-0.307,0.645,0,0,1,None
1758851634167,0,0.111,0.867,0.26,0.374,0.501,0.781,0,-0.307,0.645,0,0,1,None
1758851634277,0,0.112,0.866,0.259,0.376,0.502,0.779,0,-0.307,0.645,0,0,1,None
1758851634388,0,0.113,0.868,0.259,0.37,0.502,0.782,0,-0.307,0.645,0,0,1,None
1758851634501,0,0.113,0.866,0.258,0.372,0.501,0.781,0,-0.307,0.645,0,0,1,None
1758851634614,0,0.113,0.867,0.258,0.372,0.501,0.782,0,-0.307,0.645,0,0,1,None
1758851634725,0,0.113,0.866,0.258,0.375,0.502,0.779,0,-0.307,0.645,0,0,1,None
1758851634835,0,0.113,0.867,0.258,0.375,0.502,0.78,0,-0.307,0.645,0,0,1,None
